# Hangul Jamo 1100 - 11FF
11C8	nieunpansiosjongseong	HANGUL JONGSEONG NIEUN-PANSIOS
11C9	nieunthieuthjongseong	HANGUL JONGSEONG NIEUN-THIEUTH
11CA	tikeutkiyeokjongseong	HANGUL JONGSEONG TIKEUT-KIYEOK
11CB	tikeutrieuljongseong	HANGUL JONGSEONG TIKEUT-RIEUL
11CC	rieulkiyeoksiosjongseong	HANGUL JONGSEONG RIEUL-KIYEOK-SIOS
11CD	rieulnieunjongseong	HANGUL JONGSEONG RIEUL-NIEUN
11CE	rieultikeutjongseong	HANGUL JONGSEONG RIEUL-TIKEUT
11CF	rieultikeuthieuhjongseong	HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH
11D0	ssangrieuljongseong	HANGUL JONGSEONG SSANGRIEUL
11D1	rieulmieumkiyeokjongseong	HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK
11D2	rieulmieumsiosjongseong	HANGUL JONGSEONG RIEUL-MIEUM-SIOS
11D3	rieulpieupsiosjongseong	HANGUL JONGSEONG RIEUL-PIEUP-SIOS
11D4	rieulpieuphieuhjongseong	HANGUL JONGSEONG RIEUL-PIEUP-HIEUH
11D5	rieulkapyeounpieupjongseong	HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP
11D6	rieulssangsiosjongseong	HANGUL JONGSEONG RIEUL-SSANGSIOS
11D7	rieulpansiosjongseong	HANGUL JONGSEONG RIEUL-PANSIOS
11D8	rieulkhieukhjongseong	HANGUL JONGSEONG RIEUL-KHIEUKH
11D9	rieulyeorinhieuhjongseong	HANGUL JONGSEONG RIEUL-YEORINHIEUH
11DA	mieumkiyeokjongseong	HANGUL JONGSEONG MIEUM-KIYEOK
11DB	mieumrieuljongseong	HANGUL JONGSEONG MIEUM-RIEUL
11DC	mieumpieupjongseong	HANGUL JONGSEONG MIEUM-PIEUP
11DD	mieumsiosjongseong	HANGUL JONGSEONG MIEUM-SIOS
11DE	mieumssangsiosjongseong	HANGUL JONGSEONG MIEUM-SSANGSIOS
11DF	mieumpansiosjongseong	HANGUL JONGSEONG MIEUM-PANSIOS
11E0	mieumchieuchjongseong	HANGUL JONGSEONG MIEUM-CHIEUCH
11E1	mieumhieuhjongseong	HANGUL JONGSEONG MIEUM-HIEUH
11E2	kapyeounmieumjongseong	HANGUL JONGSEONG KAPYEOUNMIEUM
11E3	pieuprieuljongseong	HANGUL JONGSEONG PIEUP-RIEUL
11E4	pieupphieuphjongseong	HANGUL JONGSEONG PIEUP-PHIEUPH
11E5	pieuphieuhjongseong	HANGUL JONGSEONG PIEUP-HIEUH
11E6	kapyeounpieupjongseong	HANGUL JONGSEONG KAPYEOUNPIEUP
11E7	sioskiyeokjongseong	HANGUL JONGSEONG SIOS-KIYEOK
11E8	siostikeutjongseong	HANGUL JONGSEONG SIOS-TIKEUT
11E9	siosrieuljongseong	HANGUL JONGSEONG SIOS-RIEUL
11EA	siospieupjongseong	HANGUL JONGSEONG SIOS-PIEUP
11EB	pansiosjongseong	HANGUL JONGSEONG PANSIOS
11EC	ieungkiyeokjongseong	HANGUL JONGSEONG IEUNG-KIYEOK
11ED	ieungssangkiyeokjongseong	HANGUL JONGSEONG IEUNG-SSANGKIYEOK
11EE	ssangieungjongseong	HANGUL JONGSEONG SSANGIEUNG
11EF	ieungkhieukhjongseong	HANGUL JONGSEONG IEUNG-KHIEUKH
11F0	yesieungjongseong	HANGUL JONGSEONG YESIEUNG
11F1	yesieungsiosjongseong	HANGUL JONGSEONG YESIEUNG-SIOS
11F2	yesieungpansiosjongseong	HANGUL JONGSEONG YESIEUNG-PANSIOS
11F3	phieuphpieupjongseong	HANGUL JONGSEONG PHIEUPH-PIEUP
11F4	kapyeounphieuphjongseong	HANGUL JONGSEONG KAPYEOUNPHIEUPH
11F5	hieuhnieunjongseong	HANGUL JONGSEONG HIEUH-NIEUN
11F6	hieuhrieuljongseong	HANGUL JONGSEONG HIEUH-RIEUL
11F7	hieuhmieumjongseong	HANGUL JONGSEONG HIEUH-MIEUM
11F8	hieuhpieupjongseong	HANGUL JONGSEONG HIEUH-PIEUP
11F9	yeorinhieuhjongseong	HANGUL JONGSEONG YEORINHIEUH
11FA	kiyeoknieunjongseong	HANGUL JONGSEONG KIYEOK-NIEUN
11FB	kiyeokpieupjongseong	HANGUL JONGSEONG KIYEOK-PIEUP
11FC	kiyeokchieuchjongseong	HANGUL JONGSEONG KIYEOK-CHIEUCH
11FD	kiyeokkhieukhjongseong	HANGUL JONGSEONG KIYEOK-KHIEUKH
11FE	kiyeokhieuhjongseong	HANGUL JONGSEONG KIYEOK-HIEUH
11FF	ssangnieunjongseong	HANGUL JONGSEONG SSANGNIEUN
