# Tibetan 0F00 - 0FFF
0FA3	nasubjoined	TIBETAN SUBJOINED LETTER NA
0FA4	pasubjoined	TIBETAN SUBJOINED LETTER PA
0FA5	phasubjoined	TIBETAN SUBJOINED LETTER PHA
0FA6	basubjoined	TIBETAN SUBJOINED LETTER BA
0FA7	bhasubjoined	TIBETAN SUBJOINED LETTER BHA
0FA8	masubjoined	TIBETAN SUBJOINED LETTER MA
0FA9	tsasubjoined	TIBETAN SUBJOINED LETTER TSA
0FAA	tshasubjoined	TIBETAN SUBJOINED LETTER TSHA
0FAB	dzasubjoined	TIBETAN SUBJOINED LETTER DZA
0FAC	dzhasubjoined	TIBETAN SUBJOINED LETTER DZHA
0FAD	wasubjoined	TIBETAN SUBJOINED LETTER WA
0FAE	zhasubjoined	TIBETAN SUBJOINED LETTER ZHA
0FAF	zasubjoined	TIBETAN SUBJOINED LETTER ZA
0FB0	subjoinedAA	TIBETAN SUBJOINED LETTER -A
0FB1	yasubjoined	TIBETAN SUBJOINED LETTER YA
0FB2	rasubjoined	TIBETAN SUBJOINED LETTER RA
0FB3	lasubjoined	TIBETAN SUBJOINED LETTER LA
0FB4	shasubjoined	TIBETAN SUBJOINED LETTER SHA
0FB5	ssasubjoined	TIBETAN SUBJOINED LETTER SSA
0FB6	sasubjoined	TIBETAN SUBJOINED LETTER SA
0FB7	hasubjoined	TIBETAN SUBJOINED LETTER HA
0FB8	asubjoined	TIBETAN SUBJOINED LETTER A
0FB9	kssasubjoined	TIBETAN SUBJOINED LETTER KSSA
0FBA	wasubjoinedfixed	TIBETAN SUBJOINED LETTER FIXED-FORM WA
0FBB	yasubjoinedfixed	TIBETAN SUBJOINED LETTER FIXED-FORM YA
0FBC	rasubjoinedfixed	TIBETAN SUBJOINED LETTER FIXED-FORM RA
0FBE	kurukha	TIBETAN KU RU KHA
0FBF	kurukhabzhimigcan	TIBETAN KU RU KHA BZHI MIG CAN
0FC0	heavybeatcantillationsign	TIBETAN CANTILLATION SIGN HEAVY BEAT
0FC1	lightbeatcantillationsign	TIBETAN CANTILLATION SIGN LIGHT BEAT
0FC2	cangteucantillationsign	TIBETAN CANTILLATION SIGN CANG TE-U
0FC3	sbubchalcantillationsign	TIBETAN CANTILLATION SIGN SBUB -CHAL
0FC4	drilbusymbol	TIBETAN SYMBOL DRIL BU
0FC5	rdorjesymbol	TIBETAN SYMBOL RDO RJE
0FC6	padmagdansymbol	TIBETAN SYMBOL PADMA GDAN
0FC7	rdorjergyagramsymbol	TIBETAN SYMBOL RDO RJE RGYA GRAM
0FC8	phurpasymbol	TIBETAN SYMBOL PHUR PA
0FC9	norbusymbol	TIBETAN SYMBOL NOR BU
0FCA	norbunyiskhyilsymbol	TIBETAN SYMBOL NOR BU NYIS -KHYIL
0FCB	norbugsumkhyilsymbol	TIBETAN SYMBOL NOR BU GSUM -KHYIL
0FCC	norbubzhikhyilsymbol	TIBETAN SYMBOL NOR BU BZHI -KHYIL
0FCE	rdelnagrdeldkarsign	TIBETAN SIGN RDEL NAG RDEL DKAR
0FCF	rdelnaggsumsign	TIBETAN SIGN RDEL NAG GSUM
0FD0	bskashoggimgorgyanmark	TIBETAN MARK BSKA- SHOG GI MGO RGYAN
0FD1	mnyamyiggimgorgyanmark	TIBETAN MARK MNYAM YIG GI MGO RGYAN
0FD2	nyistshegmark	TIBETAN MARK NYIS TSHEG
0FD3	brdarnyingyigmgomdunmainitialmark	TIBETAN MARK INITIAL BRDA RNYING YIG MGO MDUN MA
0FD4	brdarnyingyigmgosgabmaclosingmark	TIBETAN MARK CLOSING BRDA RNYING YIG MGO SGAB MA
0FD5	svastiright	RIGHT-FACING SVASTI SIGN
0FD6	svastileft	LEFT-FACING SVASTI SIGN
0FD7	svastirightdot	RIGHT-FACING SVASTI SIGN WITH DOTS
0FD8	svastileftdot	LEFT-FACING SVASTI SIGN WITH DOTS
