# Ethiopic 1200 - 137F
12F2	et-di	ETHIOPIC SYLLABLE DI
12F3	et-daa	ETHIOPIC SYLLABLE DAA
12F4	et-dee	ETHIOPIC SYLLABLE DEE
12F5	et-de	ETHIOPIC SYLLABLE DE
12F6	et-do	ETHIOPIC SYLLABLE DO
12F7	et-dwa	ETHIOPIC SYLLABLE DWA
12F8	et-dda	ETHIOPIC SYLLABLE DDA
12F9	et-ddu	ETHIOPIC SYLLABLE DDU
12FA	et-ddi	ETHIOPIC SYLLABLE DDI
12FB	et-ddaa	ETHIOPIC SYLLABLE DDAA
12FC	et-ddee	ETHIOPIC SYLLABLE DDEE
12FD	et-dde	ETHIOPIC SYLLABLE DDE
12FE	et-ddo	ETHIOPIC SYLLABLE DDO
12FF	et-ddwa	ETHIOPIC SYLLABLE DDWA
1300	et-ja	ETHIOPIC SYLLABLE JA
1301	et-ju	ETHIOPIC SYLLABLE JU
1302	et-ji	ETHIOPIC SYLLABLE JI
1303	et-jaa	ETHIOPIC SYLLABLE JAA
1304	et-jee	ETHIOPIC SYLLABLE JEE
1305	et-je	ETHIOPIC SYLLABLE JE
1306	et-jo	ETHIOPIC SYLLABLE JO
1307	et-jwa	ETHIOPIC SYLLABLE JWA
1308	et-ga	ETHIOPIC SYLLABLE GA
1309	et-gu	ETHIOPIC SYLLABLE GU
130A	et-gi	ETHIOPIC SYLLABLE GI
130B	et-gaa	ETHIOPIC SYLLABLE GAA
130C	et-gee	ETHIOPIC SYLLABLE GEE
130D	et-ge	ETHIOPIC SYLLABLE GE
130E	et-go	ETHIOPIC SYLLABLE GO
130F	et-goa	ETHIOPIC SYLLABLE GOA
1310	et-gwa	ETHIOPIC SYLLABLE GWA
1312	et-gwi	ETHIOPIC SYLLABLE GWI
1313	et-gwaa	ETHIOPIC SYLLABLE GWAA
1314	et-gwee	ETHIOPIC SYLLABLE GWEE
1315	et-gwe	ETHIOPIC SYLLABLE GWE
1318	et-gga	ETHIOPIC SYLLABLE GGA
1319	et-ggu	ETHIOPIC SYLLABLE GGU
131A	et-ggi	ETHIOPIC SYLLABLE GGI
131B	et-ggaa	ETHIOPIC SYLLABLE GGAA
131C	et-ggee	ETHIOPIC SYLLABLE GGEE
131D	et-gge	ETHIOPIC SYLLABLE GGE
131E	et-ggo	ETHIOPIC SYLLABLE GGO
131F	et-ggwaa	ETHIOPIC SYLLABLE GGWAA
1320	et-tha	ETHIOPIC SYLLABLE THA
1321	et-thu	ETHIOPIC SYLLABLE THU
1322	et-thi	ETHIOPIC SYLLABLE THI
1323	et-thaa	ETHIOPIC SYLLABLE THAA
1324	et-thee	ETHIOPIC SYLLABLE THEE
