# Box Drawing 2500 - 257F
2572	bxdr-lightdiagupleftdnright	BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
2573	bxdr-lightdiagcross	BOX DRAWINGS LIGHT DIAGONAL CROSS
2574	bxdr-lightleft	BOX DRAWINGS LIGHT LEFT
2575	bxdr-lightup	BOX DRAWINGS LIGHT UP
2576	bxdr-lightright	BOX DRAWINGS LIGHT RIGHT
2577	bxdr-lightdn	BOX DRAWINGS LIGHT DOWN
2578	bxdr-heavyleft	BOX DRAWINGS HEAVY LEFT
2579	bxdr-heavyup	BOX DRAWINGS HEAVY UP
257A	bxdr-heavyright	BOX DRAWINGS HEAVY RIGHT
257B	bxdr-heavydn	BOX DRAWINGS HEAVY DOWN
257C	bxdr-lightleftheavyright	BOX DRAWINGS LIGHT LEFT AND HEAVY RIGHT
257D	bxdr-lightupheavydn	BOX DRAWINGS LIGHT UP AND HEAVY DOWN
257E	bxdr-heavyleftlightright	BOX DRAWINGS HEAVY LEFT AND LIGHT RIGHT
257F	bxdr-heavyuplightdn	BOX DRAWINGS HEAVY UP AND LIGHT DOWN
