# Cuneiform 12000 - 123FF
12088	cnfr-cuneiformsigndun4	CUNEIFORM SIGN DUN4
12089	cnfr-cuneiformsigndur2	CUNEIFORM SIGN DUR2
1208A	cnfr-cuneiformsigne	CUNEIFORM SIGN E
1208B	cnfr-cuneiformsignetimespap	CUNEIFORM SIGN E TIMES PAP
1208C	cnfr-cuneiformsigneoverenunovernun	CUNEIFORM SIGN E OVER E NUN OVER NUN
1208D	cnfr-cuneiformsigne2	CUNEIFORM SIGN E2
1208E	cnfr-cuneiformsigne2timesaplushaplusda	CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA
1208F	cnfr-cuneiformsigne2timesgar	CUNEIFORM SIGN E2 TIMES GAR
12090	cnfr-cuneiformsigne2timesmi	CUNEIFORM SIGN E2 TIMES MI
12091	cnfr-cuneiformsigne2timessal	CUNEIFORM SIGN E2 TIMES SAL
12092	cnfr-cuneiformsigne2timesshe	CUNEIFORM SIGN E2 TIMES SHE
12093	cnfr-cuneiformsigne2timesu	CUNEIFORM SIGN E2 TIMES U
12094	cnfr-cuneiformsignedin	CUNEIFORM SIGN EDIN
12095	cnfr-cuneiformsignegir	CUNEIFORM SIGN EGIR
12096	cnfr-cuneiformsignel	CUNEIFORM SIGN EL
12097	cnfr-cuneiformsignen	CUNEIFORM SIGN EN
12098	cnfr-cuneiformsignentimesgan2	CUNEIFORM SIGN EN TIMES GAN2
12099	cnfr-cuneiformsignentimesgan2tenu	CUNEIFORM SIGN EN TIMES GAN2 TENU
1209A	cnfr-cuneiformsignentimesme	CUNEIFORM SIGN EN TIMES ME
1209B	cnfr-cuneiformsignencrossingen	CUNEIFORM SIGN EN CROSSING EN
1209C	cnfr-cuneiformsignenopposingen	CUNEIFORM SIGN EN OPPOSING EN
1209D	cnfr-cuneiformsignensquared	CUNEIFORM SIGN EN SQUARED
1209E	cnfr-cuneiformsigneren	CUNEIFORM SIGN EREN
1209F	cnfr-cuneiformsignerin2	CUNEIFORM SIGN ERIN2
120A0	cnfr-cuneiformsignesh2	CUNEIFORM SIGN ESH2
120A1	cnfr-cuneiformsignezen	CUNEIFORM SIGN EZEN
120A2	cnfr-cuneiformsignezentimesa	CUNEIFORM SIGN EZEN TIMES A
120A3	cnfr-cuneiformsignezentimesapluslal	CUNEIFORM SIGN EZEN TIMES A PLUS LAL
120A4	cnfr-cuneiformsignezentimesapluslaltimeslal	CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL
120A5	cnfr-cuneiformsignezentimesan	CUNEIFORM SIGN EZEN TIMES AN
120A6	cnfr-cuneiformsignezentimesbad	CUNEIFORM SIGN EZEN TIMES BAD
120A7	cnfr-cuneiformsignezentimesdun3gunu	CUNEIFORM SIGN EZEN TIMES DUN3 GUNU
120A8	cnfr-cuneiformsignezentimesdun3gunugunu	CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU
120A9	cnfr-cuneiformsignezentimesha	CUNEIFORM SIGN EZEN TIMES HA
120AA	cnfr-cuneiformsignezentimeshagunu	CUNEIFORM SIGN EZEN TIMES HA GUNU
120AB	cnfr-cuneiformsignezentimesigigunu	CUNEIFORM SIGN EZEN TIMES IGI GUNU
120AC	cnfr-cuneiformsignezentimeskaskal	CUNEIFORM SIGN EZEN TIMES KASKAL
120AD	cnfr-cuneiformsignezentimeskaskalsquared	CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED
120AE	cnfr-cuneiformsignezentimesku3	CUNEIFORM SIGN EZEN TIMES KU3
120AF	cnfr-cuneiformsignezentimesla	CUNEIFORM SIGN EZEN TIMES LA
120B0	cnfr-cuneiformsignezentimeslaltimeslal	CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL
120B1	cnfr-cuneiformsignezentimesli	CUNEIFORM SIGN EZEN TIMES LI
120B2	cnfr-cuneiformsignezentimeslu	CUNEIFORM SIGN EZEN TIMES LU
120B3	cnfr-cuneiformsignezentimesu2	CUNEIFORM SIGN EZEN TIMES U2
120B4	cnfr-cuneiformsignezentimesud	CUNEIFORM SIGN EZEN TIMES UD
120B5	cnfr-cuneiformsignga	CUNEIFORM SIGN GA
120B6	cnfr-cuneiformsigngagunu	CUNEIFORM SIGN GA GUNU
120B7	cnfr-cuneiformsignga2	CUNEIFORM SIGN GA2
120B8	cnfr-cuneiformsignga2timesaplusdaplusha	CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA
120B9	cnfr-cuneiformsignga2timesaplusha	CUNEIFORM SIGN GA2 TIMES A PLUS HA
120BA	cnfr-cuneiformsignga2timesaplusigi	CUNEIFORM SIGN GA2 TIMES A PLUS IGI
120BB	cnfr-cuneiformsignga2timesab2tenuplustab	CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB
120BC	cnfr-cuneiformsignga2timesan	CUNEIFORM SIGN GA2 TIMES AN
120BD	cnfr-cuneiformsignga2timesash	CUNEIFORM SIGN GA2 TIMES ASH
120BE	cnfr-cuneiformsignga2timesash2plusgal	CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL
120BF	cnfr-cuneiformsignga2timesbad	CUNEIFORM SIGN GA2 TIMES BAD
120C0	cnfr-cuneiformsignga2timesbarplusra	CUNEIFORM SIGN GA2 TIMES BAR PLUS RA
120C1	cnfr-cuneiformsignga2timesbur	CUNEIFORM SIGN GA2 TIMES BUR
120C2	cnfr-cuneiformsignga2timesburplusra	CUNEIFORM SIGN GA2 TIMES BUR PLUS RA
120C3	cnfr-cuneiformsignga2timesda	CUNEIFORM SIGN GA2 TIMES DA
120C4	cnfr-cuneiformsignga2timesdi	CUNEIFORM SIGN GA2 TIMES DI
120C5	cnfr-cuneiformsignga2timesdimtimesshe	CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE
120C6	cnfr-cuneiformsignga2timesdub	CUNEIFORM SIGN GA2 TIMES DUB
120C7	cnfr-cuneiformsignga2timesel	CUNEIFORM SIGN GA2 TIMES EL
120C8	cnfr-cuneiformsignga2timeselplusla	CUNEIFORM SIGN GA2 TIMES EL PLUS LA
120C9	cnfr-cuneiformsignga2timesen	CUNEIFORM SIGN GA2 TIMES EN
120CA	cnfr-cuneiformsignga2timesentimesgan2tenu	CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU
120CB	cnfr-cuneiformsignga2timesgan2tenu	CUNEIFORM SIGN GA2 TIMES GAN2 TENU
120CC	cnfr-cuneiformsignga2timesgar	CUNEIFORM SIGN GA2 TIMES GAR
120CD	cnfr-cuneiformsignga2timesgi	CUNEIFORM SIGN GA2 TIMES GI
120CE	cnfr-cuneiformsignga2timesgi4	CUNEIFORM SIGN GA2 TIMES GI4
120CF	cnfr-cuneiformsignga2timesgi4plusa	CUNEIFORM SIGN GA2 TIMES GI4 PLUS A
120D0	cnfr-cuneiformsignga2timesgir2plussu	CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU
120D1	cnfr-cuneiformsignga2timeshaplusluplusesh2	CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2
120D2	cnfr-cuneiformsignga2timeshal	CUNEIFORM SIGN GA2 TIMES HAL
120D3	cnfr-cuneiformsignga2timeshalplusla	CUNEIFORM SIGN GA2 TIMES HAL PLUS LA
120D4	cnfr-cuneiformsignga2timeshiplusli	CUNEIFORM SIGN GA2 TIMES HI PLUS LI
120D5	cnfr-cuneiformsignga2timeshub2	CUNEIFORM SIGN GA2 TIMES HUB2
120D6	cnfr-cuneiformsignga2timesigigunu	CUNEIFORM SIGN GA2 TIMES IGI GUNU
120D7	cnfr-cuneiformsignga2timesishplushuplusash	CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH
120D8	cnfr-cuneiformsignga2timeskak	CUNEIFORM SIGN GA2 TIMES KAK
120D9	cnfr-cuneiformsignga2timeskaskal	CUNEIFORM SIGN GA2 TIMES KASKAL
120DA	cnfr-cuneiformsignga2timeskid	CUNEIFORM SIGN GA2 TIMES KID
120DB	cnfr-cuneiformsignga2timeskidpluslal	CUNEIFORM SIGN GA2 TIMES KID PLUS LAL
120DC	cnfr-cuneiformsignga2timesku3plusan	CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN
120DD	cnfr-cuneiformsignga2timesla	CUNEIFORM SIGN GA2 TIMES LA
120DE	cnfr-cuneiformsignga2timesmeplusen	CUNEIFORM SIGN GA2 TIMES ME PLUS EN
120DF	cnfr-cuneiformsignga2timesmi	CUNEIFORM SIGN GA2 TIMES MI
120E0	cnfr-cuneiformsignga2timesnun	CUNEIFORM SIGN GA2 TIMES NUN
120E1	cnfr-cuneiformsignga2timesnunovernun	CUNEIFORM SIGN GA2 TIMES NUN OVER NUN
120E2	cnfr-cuneiformsignga2timespa	CUNEIFORM SIGN GA2 TIMES PA
120E3	cnfr-cuneiformsignga2timessal	CUNEIFORM SIGN GA2 TIMES SAL
120E4	cnfr-cuneiformsignga2timessar	CUNEIFORM SIGN GA2 TIMES SAR
120E5	cnfr-cuneiformsignga2timesshe	CUNEIFORM SIGN GA2 TIMES SHE
120E6	cnfr-cuneiformsignga2timessheplustur	CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR
120E7	cnfr-cuneiformsignga2timesshid	CUNEIFORM SIGN GA2 TIMES SHID
120E8	cnfr-cuneiformsignga2timessum	CUNEIFORM SIGN GA2 TIMES SUM
120E9	cnfr-cuneiformsignga2timestak4	CUNEIFORM SIGN GA2 TIMES TAK4
120EA	cnfr-cuneiformsignga2timesu	CUNEIFORM SIGN GA2 TIMES U
120EB	cnfr-cuneiformsignga2timesud	CUNEIFORM SIGN GA2 TIMES UD
120EC	cnfr-cuneiformsignga2timesudplusdu	CUNEIFORM SIGN GA2 TIMES UD PLUS DU
120ED	cnfr-cuneiformsignga2overga2	CUNEIFORM SIGN GA2 OVER GA2
120EE	cnfr-cuneiformsigngaba	CUNEIFORM SIGN GABA
