# Miscellaneous Symbols 2600 - 26FF
26C1	mscl-draughtskingwhite	WHITE DRAUGHTS KING
26C2	mscl-draughtsmanblack	BLACK DRAUGHTS MAN
26C3	mscl-draughtskingblack	BLACK DRAUGHTS KING
26C4	mscl-snowmanoutsnow	SNOWMAN WITHOUT SNOW
26C5	mscl-sunbehindcloud	SUN BEHIND CLOUD
26C6	mscl-rain	RAIN
26C7	mscl-snowmanblack	BLACK SNOWMAN
26C8	mscl-thundercloudrain	THUNDER CLOUD AND RAIN
26C9	mscl-turnedshogipiecewhite	TURNED WHITE SHOGI PIECE
26CA	mscl-turnedshogipieceblack	TURNED BLACK SHOGI PIECE
26CB	mscl-diamondinsquarewhite	WHITE DIAMOND IN SQUARE
26CC	mscl-crossinglanes	CROSSING LANES
26CD	mscl-disabledcar	DISABLED CAR
26CF	mscl-pick	PICK
26D0	mscl-carsliding	CAR SLIDING
26D1	mscl-helmetcrosswhite	HELMET WITH WHITE CROSS
26D2	mscl-circledcrossinglanes	CIRCLED CROSSING LANES
26D3	mscl-chains	CHAINS
26D4	mscl-noentry	NO ENTRY
26D5	mscl-alternateonewayleftwaytraffic	ALTERNATE ONE-WAY LEFT WAY TRAFFIC
26D6	mscl-twowayleftwaytrafficblack	BLACK TWO-WAY LEFT WAY TRAFFIC
26D7	mscl-twowayleftwaytrafficwhite	WHITE TWO-WAY LEFT WAY TRAFFIC
26D8	mscl-lanemergeleftblack	BLACK LEFT LANE MERGE
26D9	mscl-lanemergeleftwhite	WHITE LEFT LANE MERGE
26DA	mscl-driveslow	DRIVE SLOW SIGN
26DB	mscl-pointingtriangledownheavywhite	HEAVY WHITE DOWN-POINTING TRIANGLE
26DC	mscl-closedentryleft	LEFT CLOSED ENTRY
26DD	mscl-squaredsaltire	SQUARED SALTIRE
26DE	mscl-fallingdiagonalincircleinsquareblackwhite	FALLING DIAGONAL IN WHITE CIRCLE IN BLACK SQUARE
26DF	mscl-truckblack	BLACK TRUCK
26E0	mscl-restrictedentryoneleft	RESTRICTED LEFT ENTRY-1
26E1	mscl-restrictedentrytwoleft	RESTRICTED LEFT ENTRY-2
26E3	mscl-circlestroketwodotsaboveheavy	HEAVY CIRCLE WITH STROKE AND TWO DOTS ABOVE
26E8	mscl-crossonshieldblack	BLACK CROSS ON SHIELD
26E9	mscl-shintoshrine	SHINTO SHRINE
26EA	mscl-church	CHURCH
26EB	mscl-castle	CASTLE
26EC	mscl-historicsite	HISTORIC SITE
26ED	mscl-gearouthub	GEAR WITHOUT HUB
26EE	mscl-gearhles	GEAR WITH HANDLES
26EF	mscl-maplighthouse	MAP SYMBOL FOR LIGHTHOUSE
26F0	mscl-mountain	MOUNTAIN
26F1	mscl-umbrellaonground	UMBRELLA ON GROUND
26F2	mscl-fountain	FOUNTAIN
26F3	mscl-flaginhole	FLAG IN HOLE
26F4	mscl-ferry	FERRY
26F5	mscl-sailboat	SAILBOAT
26F6	mscl-squarefourcorners	SQUARE FOUR CORNERS
26F7	mscl-skier	SKIER
26F8	mscl-iceskate	ICE SKATE
26F9	mscl-personball	PERSON WITH BALL
26FA	mscl-tent	TENT
26FB	mscl-japanesebank	JAPANESE BANK SYMBOL
26FC	mscl-headstonegraveyard	HEADSTONE GRAVEYARD SYMBOL
26FD	mscl-fuelpump	FUEL PUMP
26FE	mscl-consquareupblack	CUP ON BLACK SQUARE
26FF	mscl-flaghorizontalmiddlestripeblackwhite	WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
