# Supplemental Mathematical Operators 2A00 - 2AFF
2A7A	sppl-greaterthanwithcircleinside	GREATER-THAN WITH CIRCLE INSIDE
2A7B	sppl-lessthanwithquestionmarkabove	LESS-THAN WITH QUESTION MARK ABOVE
2A7C	sppl-greaterthanwithquestionmarkabove	GREATER-THAN WITH QUESTION MARK ABOVE
2A7D	sppl-lessthanorslantedequalto	LESS-THAN OR SLANTED EQUAL TO
2A7E	sppl-greaterthanorslantedequalto	GREATER-THAN OR SLANTED EQUAL TO
2A7F	sppl-lessthanorslantedequaltowithdotinside	LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
2A80	sppl-greaterthanorslantedequaltowithdotinside	GREATER-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
2A81	sppl-lessthanorslantedequaltowithdotabove	LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
2A82	sppl-greaterthanorslantedequaltowithdotabove	GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
2A83	sppl-lessthanorslantedequaltowithdotaboveright	LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE RIGHT
2A84	sppl-greaterthanorslantedequaltowithdotaboveleft	GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE LEFT
2A85	sppl-lessthanorapproximate	LESS-THAN OR APPROXIMATE
2A86	sppl-greaterthanorapproximate	GREATER-THAN OR APPROXIMATE
2A87	sppl-lessthanandsinglelinenotequalto	LESS-THAN AND SINGLE-LINE NOT EQUAL TO
2A88	sppl-greaterthanandsinglelinenotequalto	GREATER-THAN AND SINGLE-LINE NOT EQUAL TO
2A89	sppl-lessthanandnotapproximate	LESS-THAN AND NOT APPROXIMATE
2A8A	sppl-greaterthanandnotapproximate	GREATER-THAN AND NOT APPROXIMATE
2A8B	sppl-lessthanabovedoublelineequalabovegreaterthan	LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN
2A8C	sppl-greaterthanabovedoublelineequalabovelessthan	GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN
2A8D	sppl-lessthanabovesimilarorequal	LESS-THAN ABOVE SIMILAR OR EQUAL
2A8E	sppl-greaterthanabovesimilarorequal	GREATER-THAN ABOVE SIMILAR OR EQUAL
2A8F	sppl-lessthanabovesimilarabovegreaterthan	LESS-THAN ABOVE SIMILAR ABOVE GREATER-THAN
2A90	sppl-greaterthanabovesimilarabovelessthan	GREATER-THAN ABOVE SIMILAR ABOVE LESS-THAN
2A91	sppl-lessthanabovegreaterthanabovedoublelineequal	LESS-THAN ABOVE GREATER-THAN ABOVE DOUBLE-LINE EQUAL
2A92	sppl-greaterthanabovelessthanabovedoublelineequal	GREATER-THAN ABOVE LESS-THAN ABOVE DOUBLE-LINE EQUAL
2A93	sppl-lessthanaboveslantedequalabovegreaterthanaboveslantedequal	LESS-THAN ABOVE SLANTED EQUAL ABOVE GREATER-THAN ABOVE SLANTED EQUAL
2A94	sppl-greaterthanaboveslantedequalabovelessthanaboveslantedequal	GREATER-THAN ABOVE SLANTED EQUAL ABOVE LESS-THAN ABOVE SLANTED EQUAL
2A95	sppl-slantedequaltoorlessthan	SLANTED EQUAL TO OR LESS-THAN
2A96	sppl-slantedequaltoorgreaterthan	SLANTED EQUAL TO OR GREATER-THAN
2A97	sppl-slantedequaltoorlessthanwithdotinside	SLANTED EQUAL TO OR LESS-THAN WITH DOT INSIDE
2A98	sppl-slantedequaltoorgreaterthanwithdotinside	SLANTED EQUAL TO OR GREATER-THAN WITH DOT INSIDE
2A99	sppl-doublelineequaltoorlessthan	DOUBLE-LINE EQUAL TO OR LESS-THAN
2A9A	sppl-doublelineequaltoorgreaterthan	DOUBLE-LINE EQUAL TO OR GREATER-THAN
2A9B	sppl-doublelineslantedequaltoorlessthan	DOUBLE-LINE SLANTED EQUAL TO OR LESS-THAN
2A9C	sppl-doublelineslantedequaltoorgreaterthan	DOUBLE-LINE SLANTED EQUAL TO OR GREATER-THAN
2A9D	sppl-similarorlessthan	SIMILAR OR LESS-THAN
2A9E	sppl-similarorgreaterthan	SIMILAR OR GREATER-THAN
2A9F	sppl-similarabovelessthanaboveequalssign	SIMILAR ABOVE LESS-THAN ABOVE EQUALS SIGN
2AA0	sppl-similarabovegreaterthanaboveequalssign	SIMILAR ABOVE GREATER-THAN ABOVE EQUALS SIGN
2AA1	sppl-doublenestedlessthan	DOUBLE NESTED LESS-THAN
2AA2	sppl-doublenestedgreaterthan	DOUBLE NESTED GREATER-THAN
2AA3	sppl-doublenestedlessthanwithunderbar	DOUBLE NESTED LESS-THAN WITH UNDERBAR
2AA4	sppl-greaterthanoverlappinglessthan	GREATER-THAN OVERLAPPING LESS-THAN
2AA5	sppl-greaterthanbesidelessthan	GREATER-THAN BESIDE LESS-THAN
2AA6	sppl-lessthanclosedbycurve	LESS-THAN CLOSED BY CURVE
2AA7	sppl-greaterthanclosedbycurve	GREATER-THAN CLOSED BY CURVE
2AA8	sppl-lessthanclosedbycurveaboveslantedequal	LESS-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
2AA9	sppl-greaterthanclosedbycurveaboveslantedequal	GREATER-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
2AAA	sppl-smallerthan	SMALLER THAN
2AAB	sppl-largerthan	LARGER THAN
2AAC	sppl-smallerthanorequalto	SMALLER THAN OR EQUAL TO
2AAD	sppl-largerthanorequalto	LARGER THAN OR EQUAL TO
2AAE	sppl-equalssignwithbumpyabove	EQUALS SIGN WITH BUMPY ABOVE
2AAF	sppl-precedesabovesinglelineequalssign	PRECEDES ABOVE SINGLE-LINE EQUALS SIGN
2AB0	sppl-succeedsabovesinglelineequalssign	SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN
2AB1	sppl-precedesabovesinglelinenotequalto	PRECEDES ABOVE SINGLE-LINE NOT EQUAL TO
2AB2	sppl-succeedsabovesinglelinenotequalto	SUCCEEDS ABOVE SINGLE-LINE NOT EQUAL TO
2AB3	sppl-precedesaboveequalssign	PRECEDES ABOVE EQUALS SIGN
2AB4	sppl-succeedsaboveequalssign	SUCCEEDS ABOVE EQUALS SIGN
2AB5	sppl-precedesabovenotequalto	PRECEDES ABOVE NOT EQUAL TO
2AB6	sppl-succeedsabovenotequalto	SUCCEEDS ABOVE NOT EQUAL TO
2AB7	sppl-precedesabovealmostequalto	PRECEDES ABOVE ALMOST EQUAL TO
2AB8	sppl-succeedsabovealmostequalto	SUCCEEDS ABOVE ALMOST EQUAL TO
2AB9	sppl-precedesabovenotalmostequalto	PRECEDES ABOVE NOT ALMOST EQUAL TO
2ABA	sppl-succeedsabovenotalmostequalto	SUCCEEDS ABOVE NOT ALMOST EQUAL TO
2ABB	sppl-doubleprecedes	DOUBLE PRECEDES
2ABC	sppl-doublesucceeds	DOUBLE SUCCEEDS
2ABD	sppl-subsetwithdot	SUBSET WITH DOT
2ABE	sppl-supersetwithdot	SUPERSET WITH DOT
2ABF	sppl-subsetwithplussignbelow	SUBSET WITH PLUS SIGN BELOW
2AC0	sppl-supersetwithplussignbelow	SUPERSET WITH PLUS SIGN BELOW
2AC1	sppl-subsetwithmultiplicationsignbelow	SUBSET WITH MULTIPLICATION SIGN BELOW
2AC2	sppl-supersetwithmultiplicationsignbelow	SUPERSET WITH MULTIPLICATION SIGN BELOW
2AC3	sppl-subsetoforequaltowithdotabove	SUBSET OF OR EQUAL TO WITH DOT ABOVE
2AC4	sppl-supersetoforequaltowithdotabove	SUPERSET OF OR EQUAL TO WITH DOT ABOVE
2AC5	sppl-subsetofaboveequalssign	SUBSET OF ABOVE EQUALS SIGN
2AC6	sppl-supersetofaboveequalssign	SUPERSET OF ABOVE EQUALS SIGN
2AC7	sppl-subsetofabovetildeoperator	SUBSET OF ABOVE TILDE OPERATOR
2AC8	sppl-supersetofabovetildeoperator	SUPERSET OF ABOVE TILDE OPERATOR
2AC9	sppl-subsetofabovealmostequalto	SUBSET OF ABOVE ALMOST EQUAL TO
2ACA	sppl-supersetofabovealmostequalto	SUPERSET OF ABOVE ALMOST EQUAL TO
2ACB	sppl-subsetofabovenotequalto	SUBSET OF ABOVE NOT EQUAL TO
2ACC	sppl-supersetofabovenotequalto	SUPERSET OF ABOVE NOT EQUAL TO
2ACD	sppl-squareleftopenboxoperator	SQUARE LEFT OPEN BOX OPERATOR
2ACE	sppl-squarerightopenboxoperator	SQUARE RIGHT OPEN BOX OPERATOR
2ACF	sppl-closedsubset	CLOSED SUBSET
2AD0	sppl-closedsuperset	CLOSED SUPERSET
2AD1	sppl-closedsubsetorequalto	CLOSED SUBSET OR EQUAL TO
2AD2	sppl-closedsupersetorequalto	CLOSED SUPERSET OR EQUAL TO
2AD3	sppl-subsetabovesuperset	SUBSET ABOVE SUPERSET
2AD4	sppl-supersetabovesubset	SUPERSET ABOVE SUBSET
2AD5	sppl-subsetabovesubset	SUBSET ABOVE SUBSET
2AD6	sppl-supersetabovesuperset	SUPERSET ABOVE SUPERSET
2AD7	sppl-supersetbesidesubset	SUPERSET BESIDE SUBSET
2AD8	sppl-supersetbesideandjoinedbydashwithsubset	SUPERSET BESIDE AND JOINED BY DASH WITH SUBSET
2AD9	sppl-elementofopeningdownwards	ELEMENT OF OPENING DOWNWARDS
2ADA	sppl-pitchforkwithteetop	PITCHFORK WITH TEE TOP
2ADB	sppl-transversalintersection	TRANSVERSAL INTERSECTION
2ADC	sppl-forking	FORKING
2ADD	sppl-nonforking	NONFORKING
2ADE	sppl-shortlefttack	SHORT LEFT TACK
2ADF	sppl-shortdowntack	SHORT DOWN TACK
2AE0	sppl-shortuptack	SHORT UP TACK
2AE1	sppl-perpendicularwiths	PERPENDICULAR WITH S
2AE2	sppl-verticalbartriplerightturnstile	VERTICAL BAR TRIPLE RIGHT TURNSTILE
2AE3	sppl-doubleverticalbarleftturnstile	DOUBLE VERTICAL BAR LEFT TURNSTILE
2AE4	sppl-verticalbardoubleleftturnstile	VERTICAL BAR DOUBLE LEFT TURNSTILE
2AE5	sppl-doubleverticalbardoubleleftturnstile	DOUBLE VERTICAL BAR DOUBLE LEFT TURNSTILE
2AE6	sppl-longdashfromleftmemberofdoublevertical	LONG DASH FROM LEFT MEMBER OF DOUBLE VERTICAL
2AE7	sppl-shortdowntackwithoverbar	SHORT DOWN TACK WITH OVERBAR
2AE8	sppl-shortuptackwithunderbar	SHORT UP TACK WITH UNDERBAR
2AE9	sppl-shortuptackaboveshortdowntack	SHORT UP TACK ABOVE SHORT DOWN TACK
2AEA	sppl-doubledowntack	DOUBLE DOWN TACK
2AEB	sppl-doubleuptack	DOUBLE UP TACK
2AEC	sppl-doublestrokenotsign	DOUBLE STROKE NOT SIGN
2AED	sppl-reverseddoublestrokenotsign	REVERSED DOUBLE STROKE NOT SIGN
2AEE	sppl-doesnotdividewithreversednegationslash	DOES NOT DIVIDE WITH REVERSED NEGATION SLASH
2AEF	sppl-verticallinewithcircleabove	VERTICAL LINE WITH CIRCLE ABOVE
2AF0	sppl-verticallinewithcirclebelow	VERTICAL LINE WITH CIRCLE BELOW
2AF1	sppl-downtackwithcirclebelow	DOWN TACK WITH CIRCLE BELOW
2AF2	sppl-parallelwithhorizontalstroke	PARALLEL WITH HORIZONTAL STROKE
2AF3	sppl-parallelwithtildeoperator	PARALLEL WITH TILDE OPERATOR
2AF4	sppl-tripleverticalbarbinaryrelation	TRIPLE VERTICAL BAR BINARY RELATION
2AF5	sppl-tripleverticalbarwithhorizontalstroke	TRIPLE VERTICAL BAR WITH HORIZONTAL STROKE
2AF6	sppl-triplecolonoperator	TRIPLE COLON OPERATOR
2AF7	sppl-triplenestedlessthan	TRIPLE NESTED LESS-THAN
2AF8	sppl-triplenestedgreaterthan	TRIPLE NESTED GREATER-THAN
2AF9	sppl-doublelineslantedlessthanorequalto	DOUBLE-LINE SLANTED LESS-THAN OR EQUAL TO
2AFA	sppl-doublelineslantedgreaterthanorequalto	DOUBLE-LINE SLANTED GREATER-THAN OR EQUAL TO
2AFB	sppl-triplesolidusbinaryrelation	TRIPLE SOLIDUS BINARY RELATION
2AFC	sppl-largetripleverticalbaroperator	LARGE TRIPLE VERTICAL BAR OPERATOR
2AFD	sppl-doublesolidusoperator	DOUBLE SOLIDUS OPERATOR
2AFE	sppl-whiteverticalbar	WHITE VERTICAL BAR
2AFF	sppl-narywhiteverticalbar	N-ARY WHITE VERTICAL BAR
