# Mathematical Operators 2200 - 22FF
22C5	mthm-dotmath	DOT OPERATOR
22C6	mthm-staroperator	STAR OPERATOR
22C7	mthm-divisiontimes	DIVISION TIMES
22C8	mthm-bowtie	BOWTIE
22C9	mthm-normalfacrsemidirectproductleft	LEFT NORMAL FACTOR SEMIDIRECT PRODUCT
22CA	mthm-normalfacrsemidirectproductright	RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT
22CB	mthm-semidirectproductleft	LEFT SEMIDIRECT PRODUCT
22CC	mthm-semidirectproductright	RIGHT SEMIDIRECT PRODUCT
22CD	mthm-tildeequalsreversed	REVERSED TILDE EQUALS
22CE	mthm-curlylogicalor	CURLY LOGICAL OR
22CF	mthm-curlylogicaland	CURLY LOGICAL AND
22D0	mthm-subsetdbl	DOUBLE SUBSET
22D1	mthm-sersetdblup	DOUBLE SUPERSET
22D2	mthm-intersectiondbl	DOUBLE INTERSECTION
22D3	mthm-uniondbl	DOUBLE UNION
22D4	mthm-pitchfork	PITCHFORK
22D5	mthm-equalandparallel	EQUAL AND PARALLEL TO
22D6	mthm-lessdot	LESS-THAN WITH DOT
22D7	mthm-greaterdot	GREATER-THAN WITH DOT
22D8	mthm-verymuchless	VERY MUCH LESS-THAN
22D9	mthm-verymuchgreater	VERY MUCH GREATER-THAN
22DA	mthm-lessequalorgreater	LESS-THAN EQUAL TO OR GREATER-THAN
22DB	mthm-greaterequalorless	GREATER-THAN EQUAL TO OR LESS-THAN
22DC	mthm-equalorless	EQUAL TO OR LESS-THAN
22DD	mthm-equalorgreater	EQUAL TO OR GREATER-THAN
22DE	mthm-equalorprecedes	EQUAL TO OR PRECEDES
22DF	mthm-equalorsucceeds	EQUAL TO OR SUCCEEDS
22E0	mthm-doesnotprecedeorequal	DOES NOT PRECEDE OR EQUAL
22E1	mthm-doesnotsucceedorequal	DOES NOT SUCCEED OR EQUAL
22E2	mthm-notsquareimageorequal	NOT SQUARE IMAGE OF OR EQUAL TO
22E3	mthm-notsquareoriginalorequal	NOT SQUARE ORIGINAL OF OR EQUAL TO
22E4	mthm-squareimageornotequal	SQUARE IMAGE OF OR NOT EQUAL TO
22E5	mthm-squareoriginalornotequal	SQUARE ORIGINAL OF OR NOT EQUAL TO
22E6	mthm-lessbutnotequivalent	LESS-THAN BUT NOT EQUIVALENT TO
22E7	mthm-greaterbutnotequivalent	GREATER-THAN BUT NOT EQUIVALENT TO
22E8	mthm-precedesbutnotequivalent	PRECEDES BUT NOT EQUIVALENT TO
22E9	mthm-succeedsbutnotequivalent	SUCCEEDS BUT NOT EQUIVALENT TO
22EA	mthm-notnormalsubgroup	NOT NORMAL SUBGROUP OF
22EB	mthm-doesnotcontainasnormalsubgroup	DOES NOT CONTAIN AS NORMAL SUBGROUP
22EC	mthm-notnormalsubgroorequalup	NOT NORMAL SUBGROUP OF OR EQUAL TO
22ED	mthm-doesnotcontainasnormalsubgroorequalup	DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL
22EE	mthm-ellipsisvertical	VERTICAL ELLIPSIS
22EF	mthm-ellipsismidhorizontal	MIDLINE HORIZONTAL ELLIPSIS
22F0	mthm-ellipsisdiagonalupright	UP RIGHT DIAGONAL ELLIPSIS
