# Hangul Jamo 1100 - 11FF
116E	hanguljungseongu	HANGUL JUNGSEONG U
116F	hanguljungseongweo	HANGUL JUNGSEONG WEO
1170	hanguljungseongwe	HANGUL JUNGSEONG WE
1171	hanguljungseongwi	HANGUL JUNGSEONG WI
1172	hanguljungseongyu	HANGUL JUNGSEONG YU
1173	hanguljungseongeu	HANGUL JUNGSEONG EU
1174	hanguljungseongyi	HANGUL JUNGSEONG YI
1175	hanguljungseongi	HANGUL JUNGSEONG I
1176	hanguljungseongao	HANGUL JUNGSEONG A-O
1177	hanguljungseongau	HANGUL JUNGSEONG A-U
1178	hanguljungseongyao	HANGUL JUNGSEONG YA-O
1179	hanguljungseongyayo	HANGUL JUNGSEONG YA-YO
117A	hanguljungseongeoo	HANGUL JUNGSEONG EO-O
117B	hanguljungseongeou	HANGUL JUNGSEONG EO-U
117C	hanguljungseongeoeu	HANGUL JUNGSEONG EO-EU
117D	hanguljungseongyeoo	HANGUL JUNGSEONG YEO-O
117E	hanguljungseongyeou	HANGUL JUNGSEONG YEO-U
117F	hanguljungseongoeo	HANGUL JUNGSEONG O-EO
1180	ko-hanguljungseongoe	HANGUL JUNGSEONG O-E
1181	hanguljungseongoye	HANGUL JUNGSEONG O-YE
1182	hanguljungseongoo	HANGUL JUNGSEONG O-O
1183	hanguljungseongou	HANGUL JUNGSEONG O-U
1184	hanguljungseongyoya	HANGUL JUNGSEONG YO-YA
1185	hanguljungseongyoyae	HANGUL JUNGSEONG YO-YAE
1186	hanguljungseongyoyeo	HANGUL JUNGSEONG YO-YEO
1187	hanguljungseongyoo	HANGUL JUNGSEONG YO-O
1188	hanguljungseongyoi	HANGUL JUNGSEONG YO-I
1189	hanguljungseongua	HANGUL JUNGSEONG U-A
118A	hanguljungseonguae	HANGUL JUNGSEONG U-AE
118B	hanguljungseongueoeu	HANGUL JUNGSEONG U-EO-EU
118C	hanguljungseonguye	HANGUL JUNGSEONG U-YE
118D	hanguljungseonguu	HANGUL JUNGSEONG U-U
118E	hanguljungseongyua	HANGUL JUNGSEONG YU-A
118F	hanguljungseongyueo	HANGUL JUNGSEONG YU-EO
1190	hanguljungseongyue	HANGUL JUNGSEONG YU-E
