# CJK Compatibility Ideographs F900 - FAFF
F9A2	cjk-cjkcompatibilityideographf9a2	CJK COMPATIBILITY IDEOGRAPH-F9A2
F9A3	cjk-cjkcompatibilityideographf9a3	CJK COMPATIBILITY IDEOGRAPH-F9A3
F9A4	cjk-cjkcompatibilityideographf9a4	CJK COMPATIBILITY IDEOGRAPH-F9A4
F9A5	cjk-cjkcompatibilityideographf9a5	CJK COMPATIBILITY IDEOGRAPH-F9A5
F9A6	cjk-cjkcompatibilityideographf9a6	CJK COMPATIBILITY IDEOGRAPH-F9A6
F9A7	cjk-cjkcompatibilityideographf9a7	CJK COMPATIBILITY IDEOGRAPH-F9A7
F9A8	cjk-cjkcompatibilityideographf9a8	CJK COMPATIBILITY IDEOGRAPH-F9A8
F9A9	cjk-cjkcompatibilityideographf9a9	CJK COMPATIBILITY IDEOGRAPH-F9A9
F9AA	cjk-cjkcompatibilityideographf9aa	CJK COMPATIBILITY IDEOGRAPH-F9AA
F9AB	cjk-cjkcompatibilityideographf9ab	CJK COMPATIBILITY IDEOGRAPH-F9AB
F9AC	cjk-cjkcompatibilityideographf9ac	CJK COMPATIBILITY IDEOGRAPH-F9AC
F9AD	cjk-cjkcompatibilityideographf9ad	CJK COMPATIBILITY IDEOGRAPH-F9AD
F9AE	cjk-cjkcompatibilityideographf9ae	CJK COMPATIBILITY IDEOGRAPH-F9AE
F9AF	cjk-cjkcompatibilityideographf9af	CJK COMPATIBILITY IDEOGRAPH-F9AF
F9B0	cjk-cjkcompatibilityideographf9b0	CJK COMPATIBILITY IDEOGRAPH-F9B0
F9B1	cjk-cjkcompatibilityideographf9b1	CJK COMPATIBILITY IDEOGRAPH-F9B1
F9B2	cjk-cjkcompatibilityideographf9b2	CJK COMPATIBILITY IDEOGRAPH-F9B2
F9B3	cjk-cjkcompatibilityideographf9b3	CJK COMPATIBILITY IDEOGRAPH-F9B3
F9B4	cjk-cjkcompatibilityideographf9b4	CJK COMPATIBILITY IDEOGRAPH-F9B4
F9B5	cjk-cjkcompatibilityideographf9b5	CJK COMPATIBILITY IDEOGRAPH-F9B5
F9B6	cjk-cjkcompatibilityideographf9b6	CJK COMPATIBILITY IDEOGRAPH-F9B6
F9B7	cjk-cjkcompatibilityideographf9b7	CJK COMPATIBILITY IDEOGRAPH-F9B7
F9B8	cjk-cjkcompatibilityideographf9b8	CJK COMPATIBILITY IDEOGRAPH-F9B8
F9B9	cjk-cjkcompatibilityideographf9b9	CJK COMPATIBILITY IDEOGRAPH-F9B9
F9BA	cjk-cjkcompatibilityideographf9ba	CJK COMPATIBILITY IDEOGRAPH-F9BA
F9BB	cjk-cjkcompatibilityideographf9bb	CJK COMPATIBILITY IDEOGRAPH-F9BB
F9BC	cjk-cjkcompatibilityideographf9bc	CJK COMPATIBILITY IDEOGRAPH-F9BC
F9BD	cjk-cjkcompatibilityideographf9bd	CJK COMPATIBILITY IDEOGRAPH-F9BD
F9BE	cjk-cjkcompatibilityideographf9be	CJK COMPATIBILITY IDEOGRAPH-F9BE
F9BF	cjk-cjkcompatibilityideographf9bf	CJK COMPATIBILITY IDEOGRAPH-F9BF
F9C0	cjk-cjkcompatibilityideographf9c0	CJK COMPATIBILITY IDEOGRAPH-F9C0
F9C1	cjk-cjkcompatibilityideographf9c1	CJK COMPATIBILITY IDEOGRAPH-F9C1
F9C2	cjk-cjkcompatibilityideographf9c2	CJK COMPATIBILITY IDEOGRAPH-F9C2
F9C3	cjk-cjkcompatibilityideographf9c3	CJK COMPATIBILITY IDEOGRAPH-F9C3
F9C4	cjk-cjkcompatibilityideographf9c4	CJK COMPATIBILITY IDEOGRAPH-F9C4
F9C5	cjk-cjkcompatibilityideographf9c5	CJK COMPATIBILITY IDEOGRAPH-F9C5
F9C6	cjk-cjkcompatibilityideographf9c6	CJK COMPATIBILITY IDEOGRAPH-F9C6
F9C7	cjk-cjkcompatibilityideographf9c7	CJK COMPATIBILITY IDEOGRAPH-F9C7
F9C8	cjk-cjkcompatibilityideographf9c8	CJK COMPATIBILITY IDEOGRAPH-F9C8
F9C9	cjk-cjkcompatibilityideographf9c9	CJK COMPATIBILITY IDEOGRAPH-F9C9
F9CA	cjk-cjkcompatibilityideographf9ca	CJK COMPATIBILITY IDEOGRAPH-F9CA
F9CB	cjk-cjkcompatibilityideographf9cb	CJK COMPATIBILITY IDEOGRAPH-F9CB
F9CC	cjk-cjkcompatibilityideographf9cc	CJK COMPATIBILITY IDEOGRAPH-F9CC
F9CD	cjk-cjkcompatibilityideographf9cd	CJK COMPATIBILITY IDEOGRAPH-F9CD
F9CE	cjk-cjkcompatibilityideographf9ce	CJK COMPATIBILITY IDEOGRAPH-F9CE
F9CF	cjk-cjkcompatibilityideographf9cf	CJK COMPATIBILITY IDEOGRAPH-F9CF
F9D0	cjk-cjkcompatibilityideographf9d0	CJK COMPATIBILITY IDEOGRAPH-F9D0
F9D1	cjk-cjkcompatibilityideographf9d1	CJK COMPATIBILITY IDEOGRAPH-F9D1
F9D2	cjk-cjkcompatibilityideographf9d2	CJK COMPATIBILITY IDEOGRAPH-F9D2
F9D3	cjk-cjkcompatibilityideographf9d3	CJK COMPATIBILITY IDEOGRAPH-F9D3
F9D4	cjk-cjkcompatibilityideographf9d4	CJK COMPATIBILITY IDEOGRAPH-F9D4
F9D5	cjk-cjkcompatibilityideographf9d5	CJK COMPATIBILITY IDEOGRAPH-F9D5
F9D6	cjk-cjkcompatibilityideographf9d6	CJK COMPATIBILITY IDEOGRAPH-F9D6
F9D7	cjk-cjkcompatibilityideographf9d7	CJK COMPATIBILITY IDEOGRAPH-F9D7
F9D8	cjk-cjkcompatibilityideographf9d8	CJK COMPATIBILITY IDEOGRAPH-F9D8
F9D9	cjk-cjkcompatibilityideographf9d9	CJK COMPATIBILITY IDEOGRAPH-F9D9
F9DA	cjk-cjkcompatibilityideographf9da	CJK COMPATIBILITY IDEOGRAPH-F9DA
F9DB	cjk-cjkcompatibilityideographf9db	CJK COMPATIBILITY IDEOGRAPH-F9DB
F9DC	cjk-cjkcompatibilityideographf9dc	CJK COMPATIBILITY IDEOGRAPH-F9DC
F9DD	cjk-cjkcompatibilityideographf9dd	CJK COMPATIBILITY IDEOGRAPH-F9DD
F9DE	cjk-cjkcompatibilityideographf9de	CJK COMPATIBILITY IDEOGRAPH-F9DE
F9DF	cjk-cjkcompatibilityideographf9df	CJK COMPATIBILITY IDEOGRAPH-F9DF
F9E0	cjk-cjkcompatibilityideographf9e0	CJK COMPATIBILITY IDEOGRAPH-F9E0
F9E1	cjk-cjkcompatibilityideographf9e1	CJK COMPATIBILITY IDEOGRAPH-F9E1
F9E2	cjk-cjkcompatibilityideographf9e2	CJK COMPATIBILITY IDEOGRAPH-F9E2
F9E3	cjk-cjkcompatibilityideographf9e3	CJK COMPATIBILITY IDEOGRAPH-F9E3
