# Dingbats 2700 - 27BF
27A3	threedbottomlightedrightwardsarrowhead	THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
27A4	blackrightwardsarrowhead	BLACK RIGHTWARDS ARROWHEAD
27A5	heavyblackcurveddownwardsandrightwardsarrow	HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
27A6	heavyblackcurvedupwardsandrightwardsarrow	HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
27A7	squatblackrightwardsarrow	SQUAT BLACK RIGHTWARDS ARROW
27A8	heavyconcavepointedblackrightwardsarrow	HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
27A9	rightshadedwhiterightwardsarrow	RIGHT-SHADED WHITE RIGHTWARDS ARROW
27AA	leftshadedwhiterightwardsarrow	LEFT-SHADED WHITE RIGHTWARDS ARROW
27AB	backtiltedshadowedwhiterightwardsarrow	BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AC	fronttiltedshadowedwhiterightwardsarrow	FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AD	heavylowerrightshadowedwhiterightwardsarrow	HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AE	heavyupperrightshadowedwhiterightwardsarrow	HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AF	notchedlowerrightshadowedwhiterightwardsarrow	NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B1	notchedupperrightshadowedwhiterightwardsarrow	NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B2	circledheavywhiterightwardsarrow	CIRCLED HEAVY WHITE RIGHTWARDS ARROW
27B3	whitefeatheredrightwardsarrow	WHITE-FEATHERED RIGHTWARDS ARROW
27B4	blackfeatheredsoutheastarrow	BLACK-FEATHERED SOUTH EAST ARROW
27B5	blackfeatheredrightwardsarrow	BLACK-FEATHERED RIGHTWARDS ARROW
27B6	blackfeatherednortheastarrow	BLACK-FEATHERED NORTH EAST ARROW
27B7	heavyblackfeatheredsoutheastarrow	HEAVY BLACK-FEATHERED SOUTH EAST ARROW
27B8	heavyblackfeatheredrightwardsarrow	HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
27B9	heavyblackfeatherednortheastarrow	HEAVY BLACK-FEATHERED NORTH EAST ARROW
27BA	teardropbarbedrightwardsarrow	TEARDROP-BARBED RIGHTWARDS ARROW
27BB	heavyteardropshankedrightwardsarrow	HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
27BC	wedgetailedrightwardsarrow	WEDGE-TAILED RIGHTWARDS ARROW
27BD	heavywedgetailedrightwardsarrow	HEAVY WEDGE-TAILED RIGHTWARDS ARROW
27BE	openoutlinedrightwardsarrow	OPEN-OUTLINED RIGHTWARDS ARROW
