# Unified Canadian Aboriginal Syllabics 1400 - 167F
147F	nfdc-canadiansyllabicswestcreekwa	CANADIAN SYLLABICS WEST-CREE KWA
1480	nfdc-canadiansyllabicskwaa	CANADIAN SYLLABICS KWAA
1481	nfdc-canadiansyllabicswestcreekwaa	CANADIAN SYLLABICS WEST-CREE KWAA
1482	nfdc-canadiansyllabicsnaskapikwaa	CANADIAN SYLLABICS NASKAPI KWAA
1483	nfdc-canadiansyllabicsk	CANADIAN SYLLABICS K
1484	nfdc-canadiansyllabicskw	CANADIAN SYLLABICS KW
1485	nfdc-canadiansyllabicssouthslaveykeh	CANADIAN SYLLABICS SOUTH-SLAVEY KEH
1486	nfdc-canadiansyllabicssouthslaveykih	CANADIAN SYLLABICS SOUTH-SLAVEY KIH
1487	nfdc-canadiansyllabicssouthslaveykoh	CANADIAN SYLLABICS SOUTH-SLAVEY KOH
1488	nfdc-canadiansyllabicssouthslaveykah	CANADIAN SYLLABICS SOUTH-SLAVEY KAH
1489	nfdc-canadiansyllabicsce	CANADIAN SYLLABICS CE
148A	nfdc-canadiansyllabicscaai	CANADIAN SYLLABICS CAAI
148B	nfdc-canadiansyllabicsci	CANADIAN SYLLABICS CI
148C	nfdc-canadiansyllabicscii	CANADIAN SYLLABICS CII
148D	nfdc-canadiansyllabicsco	CANADIAN SYLLABICS CO
148E	nfdc-canadiansyllabicscoo	CANADIAN SYLLABICS COO
148F	nfdc-canadiansyllabicsycreecoo	CANADIAN SYLLABICS Y-CREE COO
1490	nfdc-canadiansyllabicsca	CANADIAN SYLLABICS CA
1491	nfdc-canadiansyllabicscaa	CANADIAN SYLLABICS CAA
1492	nfdc-canadiansyllabicscwe	CANADIAN SYLLABICS CWE
1493	nfdc-canadiansyllabicswestcreecwe	CANADIAN SYLLABICS WEST-CREE CWE
1494	nfdc-canadiansyllabicscwi	CANADIAN SYLLABICS CWI
1495	nfdc-canadiansyllabicswestcreecwi	CANADIAN SYLLABICS WEST-CREE CWI
1496	nfdc-canadiansyllabicscwii	CANADIAN SYLLABICS CWII
1497	nfdc-canadiansyllabicswestcreecwii	CANADIAN SYLLABICS WEST-CREE CWII
1498	nfdc-canadiansyllabicscwo	CANADIAN SYLLABICS CWO
1499	nfdc-canadiansyllabicswestcreecwo	CANADIAN SYLLABICS WEST-CREE CWO
149A	nfdc-canadiansyllabicscwoo	CANADIAN SYLLABICS CWOO
149B	nfdc-canadiansyllabicswestcreecwoo	CANADIAN SYLLABICS WEST-CREE CWOO
149C	nfdc-canadiansyllabicscwa	CANADIAN SYLLABICS CWA
149D	nfdc-canadiansyllabicswestcreecwa	CANADIAN SYLLABICS WEST-CREE CWA
149E	nfdc-canadiansyllabicscwaa	CANADIAN SYLLABICS CWAA
