# Halfwidth and Fullwidth Forms FF00 - FFEF
FF6A	hlfw-esmallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL E
FF6B	hlfw-osmallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL O
FF6C	hlfw-yasmallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL YA
FF6D	hlfw-yusmallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL YU
FF6E	hlfw-yosmallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL YO
FF6F	hlfw-tusmallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL TU
FF70	hlfw-prolongedkanahalfwidth	HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
FF71	hlfw-ahalfwidthkatakana	HALFWIDTH KATAKANA LETTER A
FF72	hlfw-ihalfwidthkatakana	HALFWIDTH KATAKANA LETTER I
FF73	hlfw-uhalfwidthkatakana	HALFWIDTH KATAKANA LETTER U
FF74	hlfw-ehalfwidthkatakana	HALFWIDTH KATAKANA LETTER E
FF75	hlfw-ohalfwidthkatakana	HALFWIDTH KATAKANA LETTER O
FF76	hlfw-kahalfwidthkatakana	HALFWIDTH KATAKANA LETTER KA
FF77	hlfw-kihalfwidthkatakana	HALFWIDTH KATAKANA LETTER KI
FF78	hlfw-kuhalfwidthkatakana	HALFWIDTH KATAKANA LETTER KU
FF79	hlfw-kehalfwidthkatakana	HALFWIDTH KATAKANA LETTER KE
FF7A	hlfw-kohalfwidthkatakana	HALFWIDTH KATAKANA LETTER KO
FF7B	hlfw-sahalfwidthkatakana	HALFWIDTH KATAKANA LETTER SA
FF7C	hlfw-sihalfwidthkatakana	HALFWIDTH KATAKANA LETTER SI
FF7D	hlfw-suhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SU
FF7E	hlfw-sehalfwidthkatakana	HALFWIDTH KATAKANA LETTER SE
FF7F	hlfw-sohalfwidthkatakana	HALFWIDTH KATAKANA LETTER SO
FF80	hlfw-tahalfwidthkatakana	HALFWIDTH KATAKANA LETTER TA
FF81	hlfw-tihalfwidthkatakana	HALFWIDTH KATAKANA LETTER TI
FF82	hlfw-tuhalfwidthkatakana	HALFWIDTH KATAKANA LETTER TU
FF83	hlfw-tehalfwidthkatakana	HALFWIDTH KATAKANA LETTER TE
