# Musical Symbols 1D100 - 1D1FF
1D1AA	mscl-musicalsymbolcombiningdownbow	MUSICAL SYMBOL COMBINING DOWN BOW
1D1AB	mscl-musicalsymbolcombiningupbow	MUSICAL SYMBOL COMBINING UP BOW
1D1AC	mscl-musicalsymbolcombiningharmonic	MUSICAL SYMBOL COMBINING HARMONIC
1D1AD	mscl-musicalsymbolcombiningsnappizzicato	MUSICAL SYMBOL COMBINING SNAP PIZZICATO
1D1AE	mscl-musicalsymbolpedalmark	MUSICAL SYMBOL PEDAL MARK
1D1AF	mscl-musicalsymbolpedalupmark	MUSICAL SYMBOL PEDAL UP MARK
1D1B0	mscl-musicalsymbolhalfpedalmark	MUSICAL SYMBOL HALF PEDAL MARK
1D1B1	mscl-musicalsymbolglissandoup	MUSICAL SYMBOL GLISSANDO UP
1D1B2	mscl-musicalsymbolglissandodown	MUSICAL SYMBOL GLISSANDO DOWN
1D1B3	mscl-musicalsymbolwithfingernails	MUSICAL SYMBOL WITH FINGERNAILS
1D1B4	mscl-musicalsymboldamp	MUSICAL SYMBOL DAMP
1D1B5	mscl-musicalsymboldampall	MUSICAL SYMBOL DAMP ALL
1D1B6	mscl-musicalsymbolmaxima	MUSICAL SYMBOL MAXIMA
1D1B7	mscl-musicalsymbollonga	MUSICAL SYMBOL LONGA
1D1B8	mscl-musicalsymbolbrevis	MUSICAL SYMBOL BREVIS
1D1B9	mscl-musicalsymbolsemibreviswhite	MUSICAL SYMBOL SEMIBREVIS WHITE
1D1BA	mscl-musicalsymbolsemibrevisblack	MUSICAL SYMBOL SEMIBREVIS BLACK
1D1BB	mscl-musicalsymbolminima	MUSICAL SYMBOL MINIMA
1D1BC	mscl-musicalsymbolminimablack	MUSICAL SYMBOL MINIMA BLACK
1D1BD	mscl-musicalsymbolsemiminimawhite	MUSICAL SYMBOL SEMIMINIMA WHITE
1D1BE	mscl-musicalsymbolsemiminimablack	MUSICAL SYMBOL SEMIMINIMA BLACK
1D1BF	mscl-musicalsymbolfusawhite	MUSICAL SYMBOL FUSA WHITE
1D1C0	mscl-musicalsymbolfusablack	MUSICAL SYMBOL FUSA BLACK
1D1C1	mscl-musicalsymbollongaperfectarest	MUSICAL SYMBOL LONGA PERFECTA REST
1D1C2	mscl-musicalsymbollongaimperfectarest	MUSICAL SYMBOL LONGA IMPERFECTA REST
1D1C3	mscl-musicalsymbolbrevisrest	MUSICAL SYMBOL BREVIS REST
1D1C4	mscl-musicalsymbolsemibrevisrest	MUSICAL SYMBOL SEMIBREVIS REST
1D1C5	mscl-musicalsymbolminimarest	MUSICAL SYMBOL MINIMA REST
1D1C6	mscl-musicalsymbolsemiminimarest	MUSICAL SYMBOL SEMIMINIMA REST
1D1C7	mscl-musicalsymboltempusperfectumcumprolationeperfecta	MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE PERFECTA
1D1C8	mscl-musicalsymboltempusperfectumcumprolationeimperfecta	MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE IMPERFECTA
1D1C9	mscl-musicalsymboltempusperfectumcumprolationeperfectadiminution1	MUSICAL SYMBOL TEMPUS PERFECTUM CUM PROLATIONE PERFECTA DIMINUTION-1
1D1CA	mscl-musicalsymboltempusimperfectumcumprolationeperfecta	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE PERFECTA
1D1CB	mscl-musicalsymboltempusimperfectumcumprolationeimperfecta	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA
1D1CC	mscl-musicalsymboltempusimperfectumcumprolationeimperfectadiminution1	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-1
1D1CD	mscl-musicalsymboltempusimperfectumcumprolationeimperfectadiminution2	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-2
1D1CE	mscl-musicalsymboltempusimperfectumcumprolationeimperfectadiminution3	MUSICAL SYMBOL TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION-3
1D1CF	mscl-musicalsymbolcroix	MUSICAL SYMBOL CROIX
1D1D0	mscl-musicalsymbolgregoriancclef	MUSICAL SYMBOL GREGORIAN C CLEF
1D1D1	mscl-musicalsymbolgregorianfclef	MUSICAL SYMBOL GREGORIAN F CLEF
1D1D2	mscl-musicalsymbolsquareb	MUSICAL SYMBOL SQUARE B
1D1D3	mscl-musicalsymbolvirga	MUSICAL SYMBOL VIRGA
1D1D4	mscl-musicalsymbolpodatus	MUSICAL SYMBOL PODATUS
1D1D5	mscl-musicalsymbolclivis	MUSICAL SYMBOL CLIVIS
1D1D6	mscl-musicalsymbolscandicus	MUSICAL SYMBOL SCANDICUS
1D1D7	mscl-musicalsymbolclimacus	MUSICAL SYMBOL CLIMACUS
1D1D8	mscl-musicalsymboltorculus	MUSICAL SYMBOL TORCULUS
1D1D9	mscl-musicalsymbolporrectus	MUSICAL SYMBOL PORRECTUS
1D1DA	mscl-musicalsymbolporrectusflexus	MUSICAL SYMBOL PORRECTUS FLEXUS
1D1DB	mscl-musicalsymbolscandicusflexus	MUSICAL SYMBOL SCANDICUS FLEXUS
1D1DC	mscl-musicalsymboltorculusresupinus	MUSICAL SYMBOL TORCULUS RESUPINUS
1D1DD	mscl-musicalsymbolpessubpunctis	MUSICAL SYMBOL PES SUBPUNCTIS
