# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A767	cjk-cjkunifiedideograph2a767	CJK UNIFIED IDEOGRAPH-2A767
2A768	cjk-cjkunifiedideograph2a768	CJK UNIFIED IDEOGRAPH-2A768
2A769	cjk-cjkunifiedideograph2a769	CJK UNIFIED IDEOGRAPH-2A769
2A76A	cjk-cjkunifiedideograph2a76a	CJK UNIFIED IDEOGRAPH-2A76A
2A76B	cjk-cjkunifiedideograph2a76b	CJK UNIFIED IDEOGRAPH-2A76B
2A76C	cjk-cjkunifiedideograph2a76c	CJK UNIFIED IDEOGRAPH-2A76C
2A76D	cjk-cjkunifiedideograph2a76d	CJK UNIFIED IDEOGRAPH-2A76D
2A76E	cjk-cjkunifiedideograph2a76e	CJK UNIFIED IDEOGRAPH-2A76E
2A76F	cjk-cjkunifiedideograph2a76f	CJK UNIFIED IDEOGRAPH-2A76F
2A770	cjk-cjkunifiedideograph2a770	CJK UNIFIED IDEOGRAPH-2A770
2A771	cjk-cjkunifiedideograph2a771	CJK UNIFIED IDEOGRAPH-2A771
2A772	cjk-cjkunifiedideograph2a772	CJK UNIFIED IDEOGRAPH-2A772
2A773	cjk-cjkunifiedideograph2a773	CJK UNIFIED IDEOGRAPH-2A773
2A774	cjk-cjkunifiedideograph2a774	CJK UNIFIED IDEOGRAPH-2A774
2A775	cjk-cjkunifiedideograph2a775	CJK UNIFIED IDEOGRAPH-2A775
2A776	cjk-cjkunifiedideograph2a776	CJK UNIFIED IDEOGRAPH-2A776
2A777	cjk-cjkunifiedideograph2a777	CJK UNIFIED IDEOGRAPH-2A777
2A778	cjk-cjkunifiedideograph2a778	CJK UNIFIED IDEOGRAPH-2A778
2A779	cjk-cjkunifiedideograph2a779	CJK UNIFIED IDEOGRAPH-2A779
2A77A	cjk-cjkunifiedideograph2a77a	CJK UNIFIED IDEOGRAPH-2A77A
2A77B	cjk-cjkunifiedideograph2a77b	CJK UNIFIED IDEOGRAPH-2A77B
2A77C	cjk-cjkunifiedideograph2a77c	CJK UNIFIED IDEOGRAPH-2A77C
2A77D	cjk-cjkunifiedideograph2a77d	CJK UNIFIED IDEOGRAPH-2A77D
2A77E	cjk-cjkunifiedideograph2a77e	CJK UNIFIED IDEOGRAPH-2A77E
2A77F	cjk-cjkunifiedideograph2a77f	CJK UNIFIED IDEOGRAPH-2A77F
2A780	cjk-cjkunifiedideograph2a780	CJK UNIFIED IDEOGRAPH-2A780
2A781	cjk-cjkunifiedideograph2a781	CJK UNIFIED IDEOGRAPH-2A781
2A782	cjk-cjkunifiedideograph2a782	CJK UNIFIED IDEOGRAPH-2A782
2A783	cjk-cjkunifiedideograph2a783	CJK UNIFIED IDEOGRAPH-2A783
2A784	cjk-cjkunifiedideograph2a784	CJK UNIFIED IDEOGRAPH-2A784
2A785	cjk-cjkunifiedideograph2a785	CJK UNIFIED IDEOGRAPH-2A785
2A786	cjk-cjkunifiedideograph2a786	CJK UNIFIED IDEOGRAPH-2A786
