# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D400	mthm-mathematicalboldcapitala	MATHEMATICAL BOLD CAPITAL A
1D438	mthm-mathematicalitaliccapitale	MATHEMATICAL ITALIC CAPITAL E
1D439	mthm-mathematicalitaliccapitalf	MATHEMATICAL ITALIC CAPITAL F
1D43A	mthm-mathematicalitaliccapitalg	MATHEMATICAL ITALIC CAPITAL G
1D43B	mthm-mathematicalitaliccapitalh	MATHEMATICAL ITALIC CAPITAL H
1D43C	mthm-mathematicalitaliccapitali	MATHEMATICAL ITALIC CAPITAL I
1D43D	mthm-mathematicalitaliccapitalj	MATHEMATICAL ITALIC CAPITAL J
1D43E	mthm-mathematicalitaliccapitalk	MATHEMATICAL ITALIC CAPITAL K
1D43F	mthm-mathematicalitaliccapitall	MATHEMATICAL ITALIC CAPITAL L
1D440	mthm-mathematicalitaliccapitalm	MATHEMATICAL ITALIC CAPITAL M
1D441	mthm-mathematicalitaliccapitaln	MATHEMATICAL ITALIC CAPITAL N
1D442	mthm-mathematicalitaliccapitalo	MATHEMATICAL ITALIC CAPITAL O
1D443	mthm-mathematicalitaliccapitalp	MATHEMATICAL ITALIC CAPITAL P
1D444	mthm-mathematicalitaliccapitalq	MATHEMATICAL ITALIC CAPITAL Q
1D445	mthm-mathematicalitaliccapitalr	MATHEMATICAL ITALIC CAPITAL R
1D446	mthm-mathematicalitaliccapitals	MATHEMATICAL ITALIC CAPITAL S
1D447	mthm-mathematicalitaliccapitalt	MATHEMATICAL ITALIC CAPITAL T
1D448	mthm-mathematicalitaliccapitalu	MATHEMATICAL ITALIC CAPITAL U
1D449	mthm-mathematicalitaliccapitalv	MATHEMATICAL ITALIC CAPITAL V
1D44A	mthm-mathematicalitaliccapitalw	MATHEMATICAL ITALIC CAPITAL W
1D44B	mthm-mathematicalitaliccapitalx	MATHEMATICAL ITALIC CAPITAL X
1D44C	mthm-mathematicalitaliccapitaly	MATHEMATICAL ITALIC CAPITAL Y
1D44D	mthm-mathematicalitaliccapitalz	MATHEMATICAL ITALIC CAPITAL Z
1D44E	mthm-mathematicalitalicsmalla	MATHEMATICAL ITALIC SMALL A
1D44F	mthm-mathematicalitalicsmallb	MATHEMATICAL ITALIC SMALL B
1D450	mthm-mathematicalitalicsmallc	MATHEMATICAL ITALIC SMALL C
1D451	mthm-mathematicalitalicsmalld	MATHEMATICAL ITALIC SMALL D
