# Yi Syllables A000 - A48F
A10F	ysyl-yisyllabledo	YI SYLLABLE DO
A110	ysyl-yisyllabledop	YI SYLLABLE DOP
A111	ysyl-yisyllabledex	YI SYLLABLE DEX
A112	ysyl-yisyllablede	YI SYLLABLE DE
A113	ysyl-yisyllabledep	YI SYLLABLE DEP
A114	ysyl-yisyllabledut	YI SYLLABLE DUT
A115	ysyl-yisyllabledux	YI SYLLABLE DUX
A116	ysyl-yisyllabledu	YI SYLLABLE DU
A117	ysyl-yisyllabledup	YI SYLLABLE DUP
A118	ysyl-yisyllabledurx	YI SYLLABLE DURX
A119	ysyl-yisyllabledur	YI SYLLABLE DUR
A11A	ysyl-yisyllabletit	YI SYLLABLE TIT
A11B	ysyl-yisyllabletix	YI SYLLABLE TIX
A11C	ysyl-yisyllableti	YI SYLLABLE TI
A11D	ysyl-yisyllabletip	YI SYLLABLE TIP
A11E	ysyl-yisyllabletiex	YI SYLLABLE TIEX
A11F	ysyl-yisyllabletie	YI SYLLABLE TIE
A120	ysyl-yisyllabletiep	YI SYLLABLE TIEP
A121	ysyl-yisyllabletat	YI SYLLABLE TAT
A122	ysyl-yisyllabletax	YI SYLLABLE TAX
A123	ysyl-yisyllableta	YI SYLLABLE TA
A124	ysyl-yisyllabletap	YI SYLLABLE TAP
A125	ysyl-yisyllabletuot	YI SYLLABLE TUOT
A126	ysyl-yisyllabletuox	YI SYLLABLE TUOX
A127	ysyl-yisyllabletuo	YI SYLLABLE TUO
A128	ysyl-yisyllabletuop	YI SYLLABLE TUOP
A129	ysyl-yisyllabletot	YI SYLLABLE TOT
A12A	ysyl-yisyllabletox	YI SYLLABLE TOX
A12B	ysyl-yisyllableto	YI SYLLABLE TO
A12C	ysyl-yisyllabletop	YI SYLLABLE TOP
A12D	ysyl-yisyllabletex	YI SYLLABLE TEX
A12E	ysyl-yisyllablete	YI SYLLABLE TE
A12F	ysyl-yisyllabletep	YI SYLLABLE TEP
A130	ysyl-yisyllabletut	YI SYLLABLE TUT
A131	ysyl-yisyllabletux	YI SYLLABLE TUX
A132	ysyl-yisyllabletu	YI SYLLABLE TU
A133	ysyl-yisyllabletup	YI SYLLABLE TUP
A134	ysyl-yisyllableturx	YI SYLLABLE TURX
A135	ysyl-yisyllabletur	YI SYLLABLE TUR
A136	ysyl-yisyllableddit	YI SYLLABLE DDIT
A137	ysyl-yisyllableddix	YI SYLLABLE DDIX
A138	ysyl-yisyllableddi	YI SYLLABLE DDI
A139	ysyl-yisyllableddip	YI SYLLABLE DDIP
A13A	ysyl-yisyllableddiex	YI SYLLABLE DDIEX
A13B	ysyl-yisyllableddie	YI SYLLABLE DDIE
A13C	ysyl-yisyllableddiep	YI SYLLABLE DDIEP
A13D	ysyl-yisyllableddat	YI SYLLABLE DDAT
A13E	ysyl-yisyllableddax	YI SYLLABLE DDAX
A13F	ysyl-yisyllabledda	YI SYLLABLE DDA
A140	ysyl-yisyllableddap	YI SYLLABLE DDAP
A141	ysyl-yisyllabledduox	YI SYLLABLE DDUOX
A142	ysyl-yisyllabledduo	YI SYLLABLE DDUO
A143	ysyl-yisyllabledduop	YI SYLLABLE DDUOP
A144	ysyl-yisyllableddot	YI SYLLABLE DDOT
A145	ysyl-yisyllableddox	YI SYLLABLE DDOX
A146	ysyl-yisyllableddo	YI SYLLABLE DDO
A147	ysyl-yisyllableddop	YI SYLLABLE DDOP
A148	ysyl-yisyllableddex	YI SYLLABLE DDEX
A149	ysyl-yisyllabledde	YI SYLLABLE DDE
A14A	ysyl-yisyllableddep	YI SYLLABLE DDEP
A14B	ysyl-yisyllableddut	YI SYLLABLE DDUT
A14C	ysyl-yisyllableddux	YI SYLLABLE DDUX
A14D	ysyl-yisyllableddu	YI SYLLABLE DDU
A14E	ysyl-yisyllableddup	YI SYLLABLE DDUP
A14F	ysyl-yisyllableddurx	YI SYLLABLE DDURX
A150	ysyl-yisyllableddur	YI SYLLABLE DDUR
A151	ysyl-yisyllablendit	YI SYLLABLE NDIT
A152	ysyl-yisyllablendix	YI SYLLABLE NDIX
A153	ysyl-yisyllablendi	YI SYLLABLE NDI
A154	ysyl-yisyllablendip	YI SYLLABLE NDIP
A155	ysyl-yisyllablendiex	YI SYLLABLE NDIEX
A156	ysyl-yisyllablendie	YI SYLLABLE NDIE
A157	ysyl-yisyllablendat	YI SYLLABLE NDAT
A158	ysyl-yisyllablendax	YI SYLLABLE NDAX
A159	ysyl-yisyllablenda	YI SYLLABLE NDA
A15A	ysyl-yisyllablendap	YI SYLLABLE NDAP
A15B	ysyl-yisyllablendot	YI SYLLABLE NDOT
A15C	ysyl-yisyllablendox	YI SYLLABLE NDOX
A15D	ysyl-yisyllablendo	YI SYLLABLE NDO
A15E	ysyl-yisyllablendop	YI SYLLABLE NDOP
A15F	ysyl-yisyllablendex	YI SYLLABLE NDEX
A160	ysyl-yisyllablende	YI SYLLABLE NDE
A161	ysyl-yisyllablendep	YI SYLLABLE NDEP
A162	ysyl-yisyllablendut	YI SYLLABLE NDUT
A163	ysyl-yisyllablendux	YI SYLLABLE NDUX
A164	ysyl-yisyllablendu	YI SYLLABLE NDU
A165	ysyl-yisyllablendup	YI SYLLABLE NDUP
A166	ysyl-yisyllablendurx	YI SYLLABLE NDURX
A167	ysyl-yisyllablendur	YI SYLLABLE NDUR
A168	ysyl-yisyllablehnit	YI SYLLABLE HNIT
A169	ysyl-yisyllablehnix	YI SYLLABLE HNIX
A16A	ysyl-yisyllablehni	YI SYLLABLE HNI
A16B	ysyl-yisyllablehnip	YI SYLLABLE HNIP
A16C	ysyl-yisyllablehniet	YI SYLLABLE HNIET
A16D	ysyl-yisyllablehniex	YI SYLLABLE HNIEX
A16E	ysyl-yisyllablehnie	YI SYLLABLE HNIE
A16F	ysyl-yisyllablehniep	YI SYLLABLE HNIEP
A170	ysyl-yisyllablehnat	YI SYLLABLE HNAT
A171	ysyl-yisyllablehnax	YI SYLLABLE HNAX
A172	ysyl-yisyllablehna	YI SYLLABLE HNA
A173	ysyl-yisyllablehnap	YI SYLLABLE HNAP
A174	ysyl-yisyllablehnuox	YI SYLLABLE HNUOX
A175	ysyl-yisyllablehnuo	YI SYLLABLE HNUO
A176	ysyl-yisyllablehnot	YI SYLLABLE HNOT
A177	ysyl-yisyllablehnox	YI SYLLABLE HNOX
A178	ysyl-yisyllablehnop	YI SYLLABLE HNOP
A179	ysyl-yisyllablehnex	YI SYLLABLE HNEX
A17A	ysyl-yisyllablehne	YI SYLLABLE HNE
A17B	ysyl-yisyllablehnep	YI SYLLABLE HNEP
A17C	ysyl-yisyllablehnut	YI SYLLABLE HNUT
A17D	ysyl-yisyllablenit	YI SYLLABLE NIT
A17E	ysyl-yisyllablenix	YI SYLLABLE NIX
A17F	ysyl-yisyllableni	YI SYLLABLE NI
A180	ysyl-yisyllablenip	YI SYLLABLE NIP
A181	ysyl-yisyllableniex	YI SYLLABLE NIEX
A182	ysyl-yisyllablenie	YI SYLLABLE NIE
A183	ysyl-yisyllableniep	YI SYLLABLE NIEP
A184	ysyl-yisyllablenax	YI SYLLABLE NAX
A185	ysyl-yisyllablena	YI SYLLABLE NA
A186	ysyl-yisyllablenap	YI SYLLABLE NAP
A187	ysyl-yisyllablenuox	YI SYLLABLE NUOX
A188	ysyl-yisyllablenuo	YI SYLLABLE NUO
A189	ysyl-yisyllablenuop	YI SYLLABLE NUOP
A18A	ysyl-yisyllablenot	YI SYLLABLE NOT
A18B	ysyl-yisyllablenox	YI SYLLABLE NOX
A18C	ysyl-yisyllableno	YI SYLLABLE NO
A18D	ysyl-yisyllablenop	YI SYLLABLE NOP
A18E	ysyl-yisyllablenex	YI SYLLABLE NEX
A18F	ysyl-yisyllablene	YI SYLLABLE NE
A190	ysyl-yisyllablenep	YI SYLLABLE NEP
A191	ysyl-yisyllablenut	YI SYLLABLE NUT
A192	ysyl-yisyllablenux	YI SYLLABLE NUX
A193	ysyl-yisyllablenu	YI SYLLABLE NU
A194	ysyl-yisyllablenup	YI SYLLABLE NUP
A195	ysyl-yisyllablenurx	YI SYLLABLE NURX
A196	ysyl-yisyllablenur	YI SYLLABLE NUR
A197	ysyl-yisyllablehlit	YI SYLLABLE HLIT
A198	ysyl-yisyllablehlix	YI SYLLABLE HLIX
A199	ysyl-yisyllablehli	YI SYLLABLE HLI
A19A	ysyl-yisyllablehlip	YI SYLLABLE HLIP
A19B	ysyl-yisyllablehliex	YI SYLLABLE HLIEX
A19C	ysyl-yisyllablehlie	YI SYLLABLE HLIE
A19D	ysyl-yisyllablehliep	YI SYLLABLE HLIEP
A19E	ysyl-yisyllablehlat	YI SYLLABLE HLAT
A19F	ysyl-yisyllablehlax	YI SYLLABLE HLAX
A1A0	ysyl-yisyllablehla	YI SYLLABLE HLA
A1A1	ysyl-yisyllablehlap	YI SYLLABLE HLAP
A1A2	ysyl-yisyllablehluox	YI SYLLABLE HLUOX
A1A3	ysyl-yisyllablehluo	YI SYLLABLE HLUO
A1A4	ysyl-yisyllablehluop	YI SYLLABLE HLUOP
A1A5	ysyl-yisyllablehlox	YI SYLLABLE HLOX
A1A6	ysyl-yisyllablehlo	YI SYLLABLE HLO
A1A7	ysyl-yisyllablehlop	YI SYLLABLE HLOP
A1A8	ysyl-yisyllablehlex	YI SYLLABLE HLEX
A1A9	ysyl-yisyllablehle	YI SYLLABLE HLE
A1AA	ysyl-yisyllablehlep	YI SYLLABLE HLEP
A1AB	ysyl-yisyllablehlut	YI SYLLABLE HLUT
A1AC	ysyl-yisyllablehlux	YI SYLLABLE HLUX
A1AD	ysyl-yisyllablehlu	YI SYLLABLE HLU
A1AE	ysyl-yisyllablehlup	YI SYLLABLE HLUP
A1AF	ysyl-yisyllablehlurx	YI SYLLABLE HLURX
A1B0	ysyl-yisyllablehlur	YI SYLLABLE HLUR
A1B1	ysyl-yisyllablehlyt	YI SYLLABLE HLYT
A1B2	ysyl-yisyllablehlyx	YI SYLLABLE HLYX
A1B3	ysyl-yisyllablehly	YI SYLLABLE HLY
A1B4	ysyl-yisyllablehlyp	YI SYLLABLE HLYP
A1B5	ysyl-yisyllablehlyrx	YI SYLLABLE HLYRX
A1B6	ysyl-yisyllablehlyr	YI SYLLABLE HLYR
A1B7	ysyl-yisyllablelit	YI SYLLABLE LIT
A1B8	ysyl-yisyllablelix	YI SYLLABLE LIX
A1B9	ysyl-yisyllableli	YI SYLLABLE LI
A1BA	ysyl-yisyllablelip	YI SYLLABLE LIP
A1BB	ysyl-yisyllableliet	YI SYLLABLE LIET
A1BC	ysyl-yisyllableliex	YI SYLLABLE LIEX
A1BD	ysyl-yisyllablelie	YI SYLLABLE LIE
A1BE	ysyl-yisyllableliep	YI SYLLABLE LIEP
A1BF	ysyl-yisyllablelat	YI SYLLABLE LAT
A1C0	ysyl-yisyllablelax	YI SYLLABLE LAX
A1C1	ysyl-yisyllablela	YI SYLLABLE LA
A1C2	ysyl-yisyllablelap	YI SYLLABLE LAP
A1C3	ysyl-yisyllableluot	YI SYLLABLE LUOT
A1C4	ysyl-yisyllableluox	YI SYLLABLE LUOX
A1C5	ysyl-yisyllableluo	YI SYLLABLE LUO
A1C6	ysyl-yisyllableluop	YI SYLLABLE LUOP
