# Enclosed CJK Letters and Months 3200 - 32FF
328C	cjk-waterideographiccircled	CIRCLED IDEOGRAPH WATER
328D	cjk-woodideographiccircled	CIRCLED IDEOGRAPH WOOD
328E	cjk-metalideographiccircled	CIRCLED IDEOGRAPH METAL
328F	cjk-earthideographiccircled	CIRCLED IDEOGRAPH EARTH
3290	cjk-sunideographiccircled	CIRCLED IDEOGRAPH SUN
3291	cjk-stockideographiccircled	CIRCLED IDEOGRAPH STOCK
3292	cjk-haveideographiccircled	CIRCLED IDEOGRAPH HAVE
3293	cjk-societyideographiccircled	CIRCLED IDEOGRAPH SOCIETY
3294	cjk-nameideographiccircled	CIRCLED IDEOGRAPH NAME
3295	cjk-specialideographiccircled	CIRCLED IDEOGRAPH SPECIAL
3296	cjk-financialideographiccircled	CIRCLED IDEOGRAPH FINANCIAL
3297	cjk-congratulationideographiccircled	CIRCLED IDEOGRAPH CONGRATULATION
3298	cjk-laborideographiccircled	CIRCLED IDEOGRAPH LABOR
3299	cjk-secretideographiccircled	CIRCLED IDEOGRAPH SECRET
329A	cjk-maleideographiccircled	CIRCLED IDEOGRAPH MALE
329B	cjk-femaleideographiccircled	CIRCLED IDEOGRAPH FEMALE
329C	cjk-suitableideographiccircled	CIRCLED IDEOGRAPH SUITABLE
329D	cjk-excellentideographiccircled	CIRCLED IDEOGRAPH EXCELLENT
329E	cjk-printideographiccircled	CIRCLED IDEOGRAPH PRINT
329F	cjk-attentionideographiccircled	CIRCLED IDEOGRAPH ATTENTION
32A0	cjk-itemideographiccircled	CIRCLED IDEOGRAPH ITEM
32A1	cjk-restideographiccircled	CIRCLED IDEOGRAPH REST
32A2	cjk-copyideographiccircled	CIRCLED IDEOGRAPH COPY
32A3	cjk-correctideographiccircled	CIRCLED IDEOGRAPH CORRECT
32A4	cjk-highideographiccircled	CIRCLED IDEOGRAPH HIGH
32A5	cjk-centreideographiccircled	CIRCLED IDEOGRAPH CENTRE
32A6	cjk-lowideographiccircled	CIRCLED IDEOGRAPH LOW
32A7	cjk-leftideographiccircled	CIRCLED IDEOGRAPH LEFT
32A8	cjk-rightideographiccircled	CIRCLED IDEOGRAPH RIGHT
32A9	cjk-medicineideographiccircled	CIRCLED IDEOGRAPH MEDICINE
32AA	cjk-religionideographiccircled	CIRCLED IDEOGRAPH RELIGION
32AB	cjk-studyideographiccircled	CIRCLED IDEOGRAPH STUDY
32AC	cjk-superviseideographiccircled	CIRCLED IDEOGRAPH SUPERVISE
32AD	cjk-enterpriseideographiccircled	CIRCLED IDEOGRAPH ENTERPRISE
32AE	cjk-resourceideographiccircled	CIRCLED IDEOGRAPH RESOURCE
32AF	cjk-allianceideographiccircled	CIRCLED IDEOGRAPH ALLIANCE
32B0	cjk-nightideographiccircled	CIRCLED IDEOGRAPH NIGHT
32B1	cjk-thirtysixcircle	CIRCLED NUMBER THIRTY SIX
32B2	cjk-thirtysevencircle	CIRCLED NUMBER THIRTY SEVEN
32B3	cjk-thirtyeightcircle	CIRCLED NUMBER THIRTY EIGHT
32B4	cjk-thirtyninecircle	CIRCLED NUMBER THIRTY NINE
32B5	cjk-fortycircle	CIRCLED NUMBER FORTY
32B6	cjk-fortyonecircle	CIRCLED NUMBER FORTY ONE
32B7	cjk-fortytwocircle	CIRCLED NUMBER FORTY TWO
32B8	cjk-fortythreecircle	CIRCLED NUMBER FORTY THREE
32B9	cjk-fortyfourcircle	CIRCLED NUMBER FORTY FOUR
32BA	cjk-fortyfivecircle	CIRCLED NUMBER FORTY FIVE
32BB	cjk-fortysixcircle	CIRCLED NUMBER FORTY SIX
32BC	cjk-fortysevencircle	CIRCLED NUMBER FORTY SEVEN
32BD	cjk-fortyeightcircle	CIRCLED NUMBER FORTY EIGHT
32BE	cjk-fortyninecircle	CIRCLED NUMBER FORTY NINE
32BF	cjk-fiftycircle	CIRCLED NUMBER FIFTY
32C0	cjk-januarytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY
32C1	cjk-februarytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR FEBRUARY
32C2	cjk-marchtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR MARCH
32C3	cjk-apriltelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR APRIL
32C4	cjk-maytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR MAY
32C5	cjk-junetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JUNE
32C6	cjk-julytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR JULY
32C7	cjk-augusttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR AUGUST
32C8	cjk-septembertelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR SEPTEMBER
32C9	cjk-octobertelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER
32CA	cjk-novembertelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER
32CB	cjk-decembertelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER
32CC	cjk-Hgfullwidth	SQUARE HG
32CD	cjk-ergfullwidth	SQUARE ERG
32CE	cjk-eVfullwidth	SQUARE EV
32CF	cjk-LTDfullwidth	LIMITED LIABILITY SIGN
32D0	cjk-acirclekatakana	CIRCLED KATAKANA A
32D1	cjk-icirclekatakana	CIRCLED KATAKANA I
32D2	cjk-ucirclekatakana	CIRCLED KATAKANA U
32D3	cjk-ecirclekatakana	CIRCLED KATAKANA E
32D4	cjk-ocirclekatakana	CIRCLED KATAKANA O
32D5	cjk-kacirclekatakana	CIRCLED KATAKANA KA
32D6	cjk-kicirclekatakana	CIRCLED KATAKANA KI
32D7	cjk-kucirclekatakana	CIRCLED KATAKANA KU
32D8	cjk-kecirclekatakana	CIRCLED KATAKANA KE
32D9	cjk-kocirclekatakana	CIRCLED KATAKANA KO
32DA	cjk-sacirclekatakana	CIRCLED KATAKANA SA
32DB	cjk-sicirclekatakana	CIRCLED KATAKANA SI
32DC	cjk-sucirclekatakana	CIRCLED KATAKANA SU
32DD	cjk-secirclekatakana	CIRCLED KATAKANA SE
32DE	cjk-socirclekatakana	CIRCLED KATAKANA SO
32DF	cjk-tacirclekatakana	CIRCLED KATAKANA TA
32E0	cjk-ticirclekatakana	CIRCLED KATAKANA TI
32E1	cjk-tucirclekatakana	CIRCLED KATAKANA TU
32E2	cjk-tecirclekatakana	CIRCLED KATAKANA TE
32E3	cjk-tocirclekatakana	CIRCLED KATAKANA TO
32E4	cjk-nacirclekatakana	CIRCLED KATAKANA NA
32E5	cjk-nicirclekatakana	CIRCLED KATAKANA NI
32E6	cjk-nucirclekatakana	CIRCLED KATAKANA NU
32E7	cjk-necirclekatakana	CIRCLED KATAKANA NE
32E8	cjk-nocirclekatakana	CIRCLED KATAKANA NO
32E9	cjk-hacirclekatakana	CIRCLED KATAKANA HA
32EA	cjk-hicirclekatakana	CIRCLED KATAKANA HI
32EB	cjk-hucirclekatakana	CIRCLED KATAKANA HU
32EC	cjk-hecirclekatakana	CIRCLED KATAKANA HE
32ED	cjk-hocirclekatakana	CIRCLED KATAKANA HO
32EE	cjk-macirclekatakana	CIRCLED KATAKANA MA
32EF	cjk-micirclekatakana	CIRCLED KATAKANA MI
32F0	cjk-mucirclekatakana	CIRCLED KATAKANA MU
32F1	cjk-mecirclekatakana	CIRCLED KATAKANA ME
32F2	cjk-mocirclekatakana	CIRCLED KATAKANA MO
32F3	cjk-yacirclekatakana	CIRCLED KATAKANA YA
32F4	cjk-yucirclekatakana	CIRCLED KATAKANA YU
32F5	cjk-yocirclekatakana	CIRCLED KATAKANA YO
32F6	cjk-racirclekatakana	CIRCLED KATAKANA RA
32F7	cjk-ricirclekatakana	CIRCLED KATAKANA RI
32F8	cjk-rucirclekatakana	CIRCLED KATAKANA RU
32F9	cjk-recirclekatakana	CIRCLED KATAKANA RE
32FA	cjk-rocirclekatakana	CIRCLED KATAKANA RO
32FB	cjk-wacirclekatakana	CIRCLED KATAKANA WA
32FC	cjk-wicirclekatakana	CIRCLED KATAKANA WI
32FD	cjk-wecirclekatakana	CIRCLED KATAKANA WE
32FE	cjk-wocirclekatakana	CIRCLED KATAKANA WO
