# Egyptian Hieroglyphs 13000 - 1342F
130D7	gypt-egyptianhieroglyphe006	EGYPTIAN HIEROGLYPH E006
130D8	gypt-egyptianhieroglyphe007	EGYPTIAN HIEROGLYPH E007
130D9	gypt-egyptianhieroglyphe008	EGYPTIAN HIEROGLYPH E008
130DA	gypt-egyptianhieroglyphe008a	EGYPTIAN HIEROGLYPH E008A
130DB	gypt-egyptianhieroglyphe009	EGYPTIAN HIEROGLYPH E009
130DC	gypt-egyptianhieroglyphe009a	EGYPTIAN HIEROGLYPH E009A
130DD	gypt-egyptianhieroglyphe010	EGYPTIAN HIEROGLYPH E010
130DE	gypt-egyptianhieroglyphe011	EGYPTIAN HIEROGLYPH E011
130DF	gypt-egyptianhieroglyphe012	EGYPTIAN HIEROGLYPH E012
130E0	gypt-egyptianhieroglyphe013	EGYPTIAN HIEROGLYPH E013
130E1	gypt-egyptianhieroglyphe014	EGYPTIAN HIEROGLYPH E014
130E2	gypt-egyptianhieroglyphe015	EGYPTIAN HIEROGLYPH E015
130E3	gypt-egyptianhieroglyphe016	EGYPTIAN HIEROGLYPH E016
130E4	gypt-egyptianhieroglyphe016a	EGYPTIAN HIEROGLYPH E016A
130E5	gypt-egyptianhieroglyphe017	EGYPTIAN HIEROGLYPH E017
130E6	gypt-egyptianhieroglyphe017a	EGYPTIAN HIEROGLYPH E017A
130E7	gypt-egyptianhieroglyphe018	EGYPTIAN HIEROGLYPH E018
130E8	gypt-egyptianhieroglyphe019	EGYPTIAN HIEROGLYPH E019
130E9	gypt-egyptianhieroglyphe020	EGYPTIAN HIEROGLYPH E020
130EA	gypt-egyptianhieroglyphe020a	EGYPTIAN HIEROGLYPH E020A
130EB	gypt-egyptianhieroglyphe021	EGYPTIAN HIEROGLYPH E021
130EC	gypt-egyptianhieroglyphe022	EGYPTIAN HIEROGLYPH E022
130ED	gypt-egyptianhieroglyphe023	EGYPTIAN HIEROGLYPH E023
130EE	gypt-egyptianhieroglyphe024	EGYPTIAN HIEROGLYPH E024
130EF	gypt-egyptianhieroglyphe025	EGYPTIAN HIEROGLYPH E025
130F0	gypt-egyptianhieroglyphe026	EGYPTIAN HIEROGLYPH E026
130F1	gypt-egyptianhieroglyphe027	EGYPTIAN HIEROGLYPH E027
130F2	gypt-egyptianhieroglyphe028	EGYPTIAN HIEROGLYPH E028
130F3	gypt-egyptianhieroglyphe028a	EGYPTIAN HIEROGLYPH E028A
130F4	gypt-egyptianhieroglyphe029	EGYPTIAN HIEROGLYPH E029
130F5	gypt-egyptianhieroglyphe030	EGYPTIAN HIEROGLYPH E030
130F6	gypt-egyptianhieroglyphe031	EGYPTIAN HIEROGLYPH E031
130F7	gypt-egyptianhieroglyphe032	EGYPTIAN HIEROGLYPH E032
130F8	gypt-egyptianhieroglyphe033	EGYPTIAN HIEROGLYPH E033
130F9	gypt-egyptianhieroglyphe034	EGYPTIAN HIEROGLYPH E034
130FA	gypt-egyptianhieroglyphe034a	EGYPTIAN HIEROGLYPH E034A
130FB	gypt-egyptianhieroglyphe036	EGYPTIAN HIEROGLYPH E036
130FC	gypt-egyptianhieroglyphe037	EGYPTIAN HIEROGLYPH E037
130FD	gypt-egyptianhieroglyphe038	EGYPTIAN HIEROGLYPH E038
130FE	gypt-egyptianhieroglyphf001	EGYPTIAN HIEROGLYPH F001
130FF	gypt-egyptianhieroglyphf001a	EGYPTIAN HIEROGLYPH F001A
13100	gypt-egyptianhieroglyphf002	EGYPTIAN HIEROGLYPH F002
13101	gypt-egyptianhieroglyphf003	EGYPTIAN HIEROGLYPH F003
13102	gypt-egyptianhieroglyphf004	EGYPTIAN HIEROGLYPH F004
13103	gypt-egyptianhieroglyphf005	EGYPTIAN HIEROGLYPH F005
13104	gypt-egyptianhieroglyphf006	EGYPTIAN HIEROGLYPH F006
13105	gypt-egyptianhieroglyphf007	EGYPTIAN HIEROGLYPH F007
13106	gypt-egyptianhieroglyphf008	EGYPTIAN HIEROGLYPH F008
13107	gypt-egyptianhieroglyphf009	EGYPTIAN HIEROGLYPH F009
13108	gypt-egyptianhieroglyphf010	EGYPTIAN HIEROGLYPH F010
13109	gypt-egyptianhieroglyphf011	EGYPTIAN HIEROGLYPH F011
1310A	gypt-egyptianhieroglyphf012	EGYPTIAN HIEROGLYPH F012
1310B	gypt-egyptianhieroglyphf013	EGYPTIAN HIEROGLYPH F013
1310C	gypt-egyptianhieroglyphf013a	EGYPTIAN HIEROGLYPH F013A
1310D	gypt-egyptianhieroglyphf014	EGYPTIAN HIEROGLYPH F014
1310E	gypt-egyptianhieroglyphf015	EGYPTIAN HIEROGLYPH F015
1310F	gypt-egyptianhieroglyphf016	EGYPTIAN HIEROGLYPH F016
13110	gypt-egyptianhieroglyphf017	EGYPTIAN HIEROGLYPH F017
13111	gypt-egyptianhieroglyphf018	EGYPTIAN HIEROGLYPH F018
13112	gypt-egyptianhieroglyphf019	EGYPTIAN HIEROGLYPH F019
13113	gypt-egyptianhieroglyphf020	EGYPTIAN HIEROGLYPH F020
13114	gypt-egyptianhieroglyphf021	EGYPTIAN HIEROGLYPH F021
13115	gypt-egyptianhieroglyphf021a	EGYPTIAN HIEROGLYPH F021A
13116	gypt-egyptianhieroglyphf022	EGYPTIAN HIEROGLYPH F022
13117	gypt-egyptianhieroglyphf023	EGYPTIAN HIEROGLYPH F023
13118	gypt-egyptianhieroglyphf024	EGYPTIAN HIEROGLYPH F024
13119	gypt-egyptianhieroglyphf025	EGYPTIAN HIEROGLYPH F025
1311A	gypt-egyptianhieroglyphf026	EGYPTIAN HIEROGLYPH F026
1311B	gypt-egyptianhieroglyphf027	EGYPTIAN HIEROGLYPH F027
1311C	gypt-egyptianhieroglyphf028	EGYPTIAN HIEROGLYPH F028
1311D	gypt-egyptianhieroglyphf029	EGYPTIAN HIEROGLYPH F029
1311E	gypt-egyptianhieroglyphf030	EGYPTIAN HIEROGLYPH F030
1311F	gypt-egyptianhieroglyphf031	EGYPTIAN HIEROGLYPH F031
13120	gypt-egyptianhieroglyphf031a	EGYPTIAN HIEROGLYPH F031A
13121	gypt-egyptianhieroglyphf032	EGYPTIAN HIEROGLYPH F032
13122	gypt-egyptianhieroglyphf033	EGYPTIAN HIEROGLYPH F033
13123	gypt-egyptianhieroglyphf034	EGYPTIAN HIEROGLYPH F034
13124	gypt-egyptianhieroglyphf035	EGYPTIAN HIEROGLYPH F035
13125	gypt-egyptianhieroglyphf036	EGYPTIAN HIEROGLYPH F036
13126	gypt-egyptianhieroglyphf037	EGYPTIAN HIEROGLYPH F037
13127	gypt-egyptianhieroglyphf037a	EGYPTIAN HIEROGLYPH F037A
13128	gypt-egyptianhieroglyphf038	EGYPTIAN HIEROGLYPH F038
13129	gypt-egyptianhieroglyphf038a	EGYPTIAN HIEROGLYPH F038A
1312A	gypt-egyptianhieroglyphf039	EGYPTIAN HIEROGLYPH F039
1312B	gypt-egyptianhieroglyphf040	EGYPTIAN HIEROGLYPH F040
1312C	gypt-egyptianhieroglyphf041	EGYPTIAN HIEROGLYPH F041
1312D	gypt-egyptianhieroglyphf042	EGYPTIAN HIEROGLYPH F042
1312E	gypt-egyptianhieroglyphf043	EGYPTIAN HIEROGLYPH F043
1312F	gypt-egyptianhieroglyphf044	EGYPTIAN HIEROGLYPH F044
13130	gypt-egyptianhieroglyphf045	EGYPTIAN HIEROGLYPH F045
13131	gypt-egyptianhieroglyphf045a	EGYPTIAN HIEROGLYPH F045A
13132	gypt-egyptianhieroglyphf046	EGYPTIAN HIEROGLYPH F046
13133	gypt-egyptianhieroglyphf046a	EGYPTIAN HIEROGLYPH F046A
13134	gypt-egyptianhieroglyphf047	EGYPTIAN HIEROGLYPH F047
13135	gypt-egyptianhieroglyphf047a	EGYPTIAN HIEROGLYPH F047A
13136	gypt-egyptianhieroglyphf048	EGYPTIAN HIEROGLYPH F048
13137	gypt-egyptianhieroglyphf049	EGYPTIAN HIEROGLYPH F049
13138	gypt-egyptianhieroglyphf050	EGYPTIAN HIEROGLYPH F050
13139	gypt-egyptianhieroglyphf051	EGYPTIAN HIEROGLYPH F051
1313A	gypt-egyptianhieroglyphf051a	EGYPTIAN HIEROGLYPH F051A
1313B	gypt-egyptianhieroglyphf051b	EGYPTIAN HIEROGLYPH F051B
1313C	gypt-egyptianhieroglyphf051c	EGYPTIAN HIEROGLYPH F051C
1313D	gypt-egyptianhieroglyphf052	EGYPTIAN HIEROGLYPH F052
1313E	gypt-egyptianhieroglyphf053	EGYPTIAN HIEROGLYPH F053
1313F	gypt-egyptianhieroglyphg001	EGYPTIAN HIEROGLYPH G001
13140	gypt-egyptianhieroglyphg002	EGYPTIAN HIEROGLYPH G002
13141	gypt-egyptianhieroglyphg003	EGYPTIAN HIEROGLYPH G003
13142	gypt-egyptianhieroglyphg004	EGYPTIAN HIEROGLYPH G004
13143	gypt-egyptianhieroglyphg005	EGYPTIAN HIEROGLYPH G005
13144	gypt-egyptianhieroglyphg006	EGYPTIAN HIEROGLYPH G006
13145	gypt-egyptianhieroglyphg006a	EGYPTIAN HIEROGLYPH G006A
13146	gypt-egyptianhieroglyphg007	EGYPTIAN HIEROGLYPH G007
13147	gypt-egyptianhieroglyphg007a	EGYPTIAN HIEROGLYPH G007A
13148	gypt-egyptianhieroglyphg007b	EGYPTIAN HIEROGLYPH G007B
13149	gypt-egyptianhieroglyphg008	EGYPTIAN HIEROGLYPH G008
