   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
   9BD : bngl-avagraha                                     beAvagraha               bngl-avagraha                           Bengali                                 BENGALI SIGN AVAGRAHA
   ABD : gjrt-avagraha                                     gjAvagraha               gjrt-avagraha                           Gujarati                                GUJARATI SIGN AVAGRAHA
   B3D : ry-avagraha                                       odAvagraha               ry-avagraha                             Oriya                                   ORIYA SIGN AVAGRAHA 
   CBD : kn-avagraha                                       knAvagraha               kn-avagraha                             Kannada                                 KANNADA SIGN AVAGRAHA

   C3D : tlg-avagrahasign                                  teAvagraha               tlg-avagrahasign                        Telugu                                  TELUGU SIGN AVAGRAHA
   D3D : ma-avagrahasign                                   mlAvagraha               ma-avagrahasign                         Malayalam                               MALAYALAM SIGN AVAGRAHA

    62 : b                                                 b                        b                                       Basic Latin                             LATIN SMALL LETTER B
  3105 : bpmf-b                                            bbopomofo                bpmf-b                                  Bopomofo                                BOPOMOFO LETTER B   

   92C : dv-ba                                             dvBa                     dv-ba                                   Devanagari                              DEVANAGARI LETTER BA
   9AC : bngl-ba                                           beBa                     bngl-ba                                 Bengali                                 BENGALI LETTER BA   
   A2C : grmk-ba                                           guBa                     grmk-ba                                 Gurmukhi                                GURMUKHI LETTER BA  
   AAC : gjrt-ba                                           gjBa                     gjrt-ba                                 Gujarati                                GUJARATI LETTER BA  
   B2C : ry-ba                                             odBa                     ry-ba                                   Oriya                                   ORIYA LETTER BA     
   C2C : tlg-ba                                            teBa                     tlg-ba                                  Telugu                                  TELUGU LETTER BA    
   CAC : kn-ba                                             knBa                     kn-ba                                   Kannada                                 KANNADA LETTER BA   
   D2C : ma-ba                                             mlBa                     ma-ba                                   Malayalam                               MALAYALAM LETTER BA 
   F56 : tb-ba                                             -                        tb-ba                                   Tibetan                                 TIBETAN LETTER BA   
  182A : mo-ba                                             -                        mo-ba                                   Mongolian                               MONGOLIAN LETTER BA 
  A9A7 : ja-ba                                             -                        ja-ba                                   Javanese                                JAVANESE LETTER BA  

    5C : backslash                                         backslash                backslash                               Basic Latin                             REVERSE SOLIDUS     
  FE68 : smll-backslash                                    -                        smll-backslash                          Small Form Variants                     SMALL REVERSE SOLIDUS

  3374 : cjk-barfullwidth                                  barfullwidth             cjk-barfullwidth                        CJK Compatibility                       SQUARE BAR          
  FF5C : hlfw-barfullwidth                                 linevertfullwidth        hlfw-barfullwidth                       Halfwidth and Fullwidth Forms           FULLWIDTH VERTICAL LINE

   92D : dv-bha                                            dvBha                    dv-bha                                  Devanagari                              DEVANAGARI LETTER BHA
   9AD : bngl-bha                                          beBha                    bngl-bha                                Bengali                                 BENGALI LETTER BHA  
   A2D : grmk-bha                                          guBha                    grmk-bha                                Gurmukhi                                GURMUKHI LETTER BHA 
   AAD : gjrt-bha                                          gjBha                    gjrt-bha                                Gujarati                                GUJARATI LETTER BHA 
   B2D : ry-bha                                            odBha                    ry-bha                                  Oriya                                   ORIYA LETTER BHA    
   C2D : tlg-bha                                           teBha                    tlg-bha                                 Telugu                                  TELUGU LETTER BHA   
   CAD : kn-bha                                            knBha                    kn-bha                                  Kannada                                 KANNADA LETTER BHA  
   D2D : ma-bha                                            mlBha                    ma-bha                                  Malayalam                               MALAYALAM LETTER BHA
   F57 : tb-bha                                            -                        tb-bha                                  Tibetan                                 TIBETAN LETTER BHA  

    7B : braceleft                                         braceleft                braceleft                               Basic Latin                             LEFT CURLY BRACKET  
  FE5B : smll-braceleft                                    braceleftsmall           smll-braceleft                          Small Form Variants                     SMALL LEFT CURLY BRACKET

