# Byzantine Musical Symbols 1D000 - 1D0FF
1D07C	byzn-byzantinemusicalsymbolyfenkato	BYZANTINE MUSICAL SYMBOL YFEN KATO
1D07D	byzn-byzantinemusicalsymbolyfenano	BYZANTINE MUSICAL SYMBOL YFEN ANO
1D07E	byzn-byzantinemusicalsymbolstavros	BYZANTINE MUSICAL SYMBOL STAVROS
1D07F	byzn-byzantinemusicalsymbolklasmaano	BYZANTINE MUSICAL SYMBOL KLASMA ANO
1D080	byzn-byzantinemusicalsymboldipliarchaion	BYZANTINE MUSICAL SYMBOL DIPLI ARCHAION
1D081	byzn-byzantinemusicalsymbolkratimaarchaion	BYZANTINE MUSICAL SYMBOL KRATIMA ARCHAION
1D082	byzn-byzantinemusicalsymbolkratimaallo	BYZANTINE MUSICAL SYMBOL KRATIMA ALLO
1D083	byzn-byzantinemusicalsymbolkratimaneo	BYZANTINE MUSICAL SYMBOL KRATIMA NEO
1D084	byzn-byzantinemusicalsymbolapodermaneo	BYZANTINE MUSICAL SYMBOL APODERMA NEO
1D085	byzn-byzantinemusicalsymbolapli	BYZANTINE MUSICAL SYMBOL APLI
1D086	byzn-byzantinemusicalsymboldipli	BYZANTINE MUSICAL SYMBOL DIPLI
1D087	byzn-byzantinemusicalsymboltripli	BYZANTINE MUSICAL SYMBOL TRIPLI
1D088	byzn-byzantinemusicalsymboltetrapli	BYZANTINE MUSICAL SYMBOL TETRAPLI
1D089	byzn-byzantinemusicalsymbolkoronis	BYZANTINE MUSICAL SYMBOL KORONIS
1D08A	byzn-byzantinemusicalsymbolleimmaenoschronou	BYZANTINE MUSICAL SYMBOL LEIMMA ENOS CHRONOU
1D08B	byzn-byzantinemusicalsymbolleimmadyochronon	BYZANTINE MUSICAL SYMBOL LEIMMA DYO CHRONON
1D08C	byzn-byzantinemusicalsymbolleimmatrionchronon	BYZANTINE MUSICAL SYMBOL LEIMMA TRION CHRONON
1D08D	byzn-byzantinemusicalsymbolleimmatessaronchronon	BYZANTINE MUSICAL SYMBOL LEIMMA TESSARON CHRONON
1D08E	byzn-byzantinemusicalsymbolleimmaimiseoschronou	BYZANTINE MUSICAL SYMBOL LEIMMA IMISEOS CHRONOU
1D08F	byzn-byzantinemusicalsymbolgorgonneoano	BYZANTINE MUSICAL SYMBOL GORGON NEO ANO
1D090	byzn-byzantinemusicalsymbolgorgonparestigmenonaristera	BYZANTINE MUSICAL SYMBOL GORGON PARESTIGMENON ARISTERA
1D091	byzn-byzantinemusicalsymbolgorgonparestigmenondexia	BYZANTINE MUSICAL SYMBOL GORGON PARESTIGMENON DEXIA
1D092	byzn-byzantinemusicalsymboldigorgon	BYZANTINE MUSICAL SYMBOL DIGORGON
1D093	byzn-byzantinemusicalsymboldigorgonparestigmenonaristerakato	BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON ARISTERA KATO
1D094	byzn-byzantinemusicalsymboldigorgonparestigmenonaristeraano	BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON ARISTERA ANO
1D095	byzn-byzantinemusicalsymboldigorgonparestigmenondexia	BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON DEXIA
1D096	byzn-byzantinemusicalsymboltrigorgon	BYZANTINE MUSICAL SYMBOL TRIGORGON
1D097	byzn-byzantinemusicalsymbolargon	BYZANTINE MUSICAL SYMBOL ARGON
1D098	byzn-byzantinemusicalsymbolimidiargon	BYZANTINE MUSICAL SYMBOL IMIDIARGON
1D099	byzn-byzantinemusicalsymboldiargon	BYZANTINE MUSICAL SYMBOL DIARGON
1D09A	byzn-byzantinemusicalsymbolagogipoliargi	BYZANTINE MUSICAL SYMBOL AGOGI POLI ARGI
1D09B	byzn-byzantinemusicalsymbolagogiargoteri	BYZANTINE MUSICAL SYMBOL AGOGI ARGOTERI
1D09C	byzn-byzantinemusicalsymbolagogiargi	BYZANTINE MUSICAL SYMBOL AGOGI ARGI
1D09D	byzn-byzantinemusicalsymbolagogimetria	BYZANTINE MUSICAL SYMBOL AGOGI METRIA
1D09E	byzn-byzantinemusicalsymbolagogimesi	BYZANTINE MUSICAL SYMBOL AGOGI MESI
1D09F	byzn-byzantinemusicalsymbolagogigorgi	BYZANTINE MUSICAL SYMBOL AGOGI GORGI
1D0A0	byzn-byzantinemusicalsymbolagogigorgoteri	BYZANTINE MUSICAL SYMBOL AGOGI GORGOTERI
1D0A1	byzn-byzantinemusicalsymbolagogipoligorgi	BYZANTINE MUSICAL SYMBOL AGOGI POLI GORGI
1D0A2	byzn-byzantinemusicalsymbolmartyriaprotosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA PROTOS ICHOS
1D0A3	byzn-byzantinemusicalsymbolmartyriaalliprotosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA ALLI PROTOS ICHOS
1D0A4	byzn-byzantinemusicalsymbolmartyriadeyterosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA DEYTEROS ICHOS
1D0A5	byzn-byzantinemusicalsymbolmartyriaallideyterosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA ALLI DEYTEROS ICHOS
1D0A6	byzn-byzantinemusicalsymbolmartyriatritosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA TRITOS ICHOS
1D0A7	byzn-byzantinemusicalsymbolmartyriatrifonias	BYZANTINE MUSICAL SYMBOL MARTYRIA TRIFONIAS
1D0A8	byzn-byzantinemusicalsymbolmartyriatetartosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA TETARTOS ICHOS
1D0A9	byzn-byzantinemusicalsymbolmartyriatetartoslegetosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA TETARTOS LEGETOS ICHOS
1D0AA	byzn-byzantinemusicalsymbolmartyrialegetosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA LEGETOS ICHOS
1D0AB	byzn-byzantinemusicalsymbolmartyriaplagiosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA PLAGIOS ICHOS
1D0AC	byzn-byzantinemusicalsymbolisakiatelousichimatos	BYZANTINE MUSICAL SYMBOL ISAKIA TELOUS ICHIMATOS
1D0AD	byzn-byzantinemusicalsymbolapostrofoitelousichimatos	BYZANTINE MUSICAL SYMBOL APOSTROFOI TELOUS ICHIMATOS
1D0AE	byzn-byzantinemusicalsymbolfanerosistetrafonias	BYZANTINE MUSICAL SYMBOL FANEROSIS TETRAFONIAS
1D0AF	byzn-byzantinemusicalsymbolfanerosismonofonias	BYZANTINE MUSICAL SYMBOL FANEROSIS MONOFONIAS
1D0B0	byzn-byzantinemusicalsymbolfanerosisdifonias	BYZANTINE MUSICAL SYMBOL FANEROSIS DIFONIAS
1D0B1	byzn-byzantinemusicalsymbolmartyriavarysichos	BYZANTINE MUSICAL SYMBOL MARTYRIA VARYS ICHOS
1D0B2	byzn-byzantinemusicalsymbolmartyriaprotovarysichos	BYZANTINE MUSICAL SYMBOL MARTYRIA PROTOVARYS ICHOS
1D0B3	byzn-byzantinemusicalsymbolmartyriaplagiostetartosichos	BYZANTINE MUSICAL SYMBOL MARTYRIA PLAGIOS TETARTOS ICHOS
1D0B4	byzn-byzantinemusicalsymbolgorthmikonnaploun	BYZANTINE MUSICAL SYMBOL GORTHMIKON N APLOUN
1D0B5	byzn-byzantinemusicalsymbolgorthmikonndiploun	BYZANTINE MUSICAL SYMBOL GORTHMIKON N DIPLOUN
1D0B6	byzn-byzantinemusicalsymbolenarxiskaifthoravou	BYZANTINE MUSICAL SYMBOL ENARXIS KAI FTHORA VOU
1D0B7	byzn-byzantinemusicalsymbolimifonon	BYZANTINE MUSICAL SYMBOL IMIFONON
1D0B8	byzn-byzantinemusicalsymbolimifthoron	BYZANTINE MUSICAL SYMBOL IMIFTHORON
1D0B9	byzn-byzantinemusicalsymbolfthoraarchaiondeyterouichou	BYZANTINE MUSICAL SYMBOL FTHORA ARCHAION DEYTEROU ICHOU
1D0BA	byzn-byzantinemusicalsymbolfthoradiatonikipa	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI PA
1D0BB	byzn-byzantinemusicalsymbolfthoradiatonikinana	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NANA
1D0BC	byzn-byzantinemusicalsymbolfthoranaosichos	BYZANTINE MUSICAL SYMBOL FTHORA NAOS ICHOS
1D0BD	byzn-byzantinemusicalsymbolfthoradiatonikidi	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI DI
1D0BE	byzn-byzantinemusicalsymbolfthorasklirondiatonondi	BYZANTINE MUSICAL SYMBOL FTHORA SKLIRON DIATONON DI
