# Hangul Syllables AC00 - D7AF
AC95	ko-hangulsyllablegelg	HANGUL SYLLABLE GELG
AC96	ko-hangulsyllablegelm	HANGUL SYLLABLE GELM
AC97	ko-hangulsyllablegelb	HANGUL SYLLABLE GELB
AC98	ko-hangulsyllablegels	HANGUL SYLLABLE GELS
AC99	ko-hangulsyllablegelt	HANGUL SYLLABLE GELT
AC9A	ko-hangulsyllablegelp	HANGUL SYLLABLE GELP
AC9B	ko-hangulsyllablegelh	HANGUL SYLLABLE GELH
AC9C	ko-hangulsyllablegem	HANGUL SYLLABLE GEM
AC9D	ko-hangulsyllablegeb	HANGUL SYLLABLE GEB
AC9E	ko-hangulsyllablegebs	HANGUL SYLLABLE GEBS
AC9F	ko-hangulsyllableges	HANGUL SYLLABLE GES
ACA0	ko-hangulsyllablegess	HANGUL SYLLABLE GESS
ACA1	ko-hangulsyllablegeng	HANGUL SYLLABLE GENG
ACA2	ko-hangulsyllablegej	HANGUL SYLLABLE GEJ
ACA3	ko-hangulsyllablegec	HANGUL SYLLABLE GEC
ACA4	ko-hangulsyllablegek	HANGUL SYLLABLE GEK
ACA5	ko-hangulsyllableget	HANGUL SYLLABLE GET
ACA6	ko-hangulsyllablegep	HANGUL SYLLABLE GEP
ACA7	ko-hangulsyllablegeh	HANGUL SYLLABLE GEH
ACA8	ko-hangulsyllablegyeo	HANGUL SYLLABLE GYEO
ACA9	ko-hangulsyllablegyeog	HANGUL SYLLABLE GYEOG
ACAA	ko-hangulsyllablegyeogg	HANGUL SYLLABLE GYEOGG
ACAB	ko-hangulsyllablegyeogs	HANGUL SYLLABLE GYEOGS
ACAC	ko-hangulsyllablegyeon	HANGUL SYLLABLE GYEON
ACAD	ko-hangulsyllablegyeonj	HANGUL SYLLABLE GYEONJ
ACAE	ko-hangulsyllablegyeonh	HANGUL SYLLABLE GYEONH
ACAF	ko-hangulsyllablegyeod	HANGUL SYLLABLE GYEOD
ACB0	ko-hangulsyllablegyeol	HANGUL SYLLABLE GYEOL
