# Ethiopic 1200 - 137F
12FE	ethiopicsyllableddo	ETHIOPIC SYLLABLE DDO
12FF	ethiopicsyllableddwa	ETHIOPIC SYLLABLE DDWA
1300	ethiopicsyllableja	ETHIOPIC SYLLABLE JA
1301	ethiopicsyllableju	ETHIOPIC SYLLABLE JU
1302	ethiopicsyllableji	ETHIOPIC SYLLABLE JI
1303	ethiopicsyllablejaa	ETHIOPIC SYLLABLE JAA
1304	ethiopicsyllablejee	ETHIOPIC SYLLABLE JEE
1305	ethiopicsyllableje	ETHIOPIC SYLLABLE JE
1306	ethiopicsyllablejo	ETHIOPIC SYLLABLE JO
1307	ethiopicsyllablejwa	ETHIOPIC SYLLABLE JWA
1308	ethiopicsyllablega	ETHIOPIC SYLLABLE GA
1309	ethiopicsyllablegu	ETHIOPIC SYLLABLE GU
130A	ethiopicsyllablegi	ETHIOPIC SYLLABLE GI
130B	ethiopicsyllablegaa	ETHIOPIC SYLLABLE GAA
130C	ethiopicsyllablegee	ETHIOPIC SYLLABLE GEE
130D	ethiopicsyllablege	ETHIOPIC SYLLABLE GE
130E	ethiopicsyllablego	ETHIOPIC SYLLABLE GO
130F	ethiopicsyllablegoa	ETHIOPIC SYLLABLE GOA
1310	ethiopicsyllablegwa	ETHIOPIC SYLLABLE GWA
1312	ethiopicsyllablegwi	ETHIOPIC SYLLABLE GWI
1313	ethiopicsyllablegwaa	ETHIOPIC SYLLABLE GWAA
1314	ethiopicsyllablegwee	ETHIOPIC SYLLABLE GWEE
1315	ethiopicsyllablegwe	ETHIOPIC SYLLABLE GWE
1318	ethiopicsyllablegga	ETHIOPIC SYLLABLE GGA
1319	ethiopicsyllableggu	ETHIOPIC SYLLABLE GGU
131A	ethiopicsyllableggi	ETHIOPIC SYLLABLE GGI
131B	ethiopicsyllableggaa	ETHIOPIC SYLLABLE GGAA
131C	ethiopicsyllableggee	ETHIOPIC SYLLABLE GGEE
131D	ethiopicsyllablegge	ETHIOPIC SYLLABLE GGE
131E	ethiopicsyllableggo	ETHIOPIC SYLLABLE GGO
131F	ethiopicsyllableggwaa	ETHIOPIC SYLLABLE GGWAA
1320	ethiopicsyllabletha	ETHIOPIC SYLLABLE THA
1321	ethiopicsyllablethu	ETHIOPIC SYLLABLE THU
1322	ethiopicsyllablethi	ETHIOPIC SYLLABLE THI
1323	ethiopicsyllablethaa	ETHIOPIC SYLLABLE THAA
1324	ethiopicsyllablethee	ETHIOPIC SYLLABLE THEE
1325	ethiopicsyllablethe	ETHIOPIC SYLLABLE THE
1326	ethiopicsyllabletho	ETHIOPIC SYLLABLE THO
1327	ethiopicsyllablethwa	ETHIOPIC SYLLABLE THWA
1328	ethiopicsyllablecha	ETHIOPIC SYLLABLE CHA
1329	ethiopicsyllablechu	ETHIOPIC SYLLABLE CHU
132A	ethiopicsyllablechi	ETHIOPIC SYLLABLE CHI
132B	ethiopicsyllablechaa	ETHIOPIC SYLLABLE CHAA
132C	ethiopicsyllablechee	ETHIOPIC SYLLABLE CHEE
132D	ethiopicsyllableche	ETHIOPIC SYLLABLE CHE
132E	ethiopicsyllablecho	ETHIOPIC SYLLABLE CHO
132F	ethiopicsyllablechwa	ETHIOPIC SYLLABLE CHWA
1330	ethiopicsyllablepha	ETHIOPIC SYLLABLE PHA
1331	ethiopicsyllablephu	ETHIOPIC SYLLABLE PHU
1332	ethiopicsyllablephi	ETHIOPIC SYLLABLE PHI
1333	ethiopicsyllablephaa	ETHIOPIC SYLLABLE PHAA
1334	ethiopicsyllablephee	ETHIOPIC SYLLABLE PHEE
1335	ethiopicsyllablephe	ETHIOPIC SYLLABLE PHE
1336	ethiopicsyllablepho	ETHIOPIC SYLLABLE PHO
1337	ethiopicsyllablephwa	ETHIOPIC SYLLABLE PHWA
1338	ethiopicsyllabletsa	ETHIOPIC SYLLABLE TSA
1339	ethiopicsyllabletsu	ETHIOPIC SYLLABLE TSU
133A	ethiopicsyllabletsi	ETHIOPIC SYLLABLE TSI
133B	ethiopicsyllabletsaa	ETHIOPIC SYLLABLE TSAA
133C	ethiopicsyllabletsee	ETHIOPIC SYLLABLE TSEE
133D	ethiopicsyllabletse	ETHIOPIC SYLLABLE TSE
133E	ethiopicsyllabletso	ETHIOPIC SYLLABLE TSO
133F	ethiopicsyllabletswa	ETHIOPIC SYLLABLE TSWA
1340	ethiopicsyllabletza	ETHIOPIC SYLLABLE TZA
1341	ethiopicsyllabletzu	ETHIOPIC SYLLABLE TZU
1342	ethiopicsyllabletzi	ETHIOPIC SYLLABLE TZI
1343	ethiopicsyllabletzaa	ETHIOPIC SYLLABLE TZAA
1344	ethiopicsyllabletzee	ETHIOPIC SYLLABLE TZEE
1345	ethiopicsyllabletze	ETHIOPIC SYLLABLE TZE
1346	ethiopicsyllabletzo	ETHIOPIC SYLLABLE TZO
1347	ethiopicsyllabletzoa	ETHIOPIC SYLLABLE TZOA
1348	ethiopicsyllablefa	ETHIOPIC SYLLABLE FA
1349	ethiopicsyllablefu	ETHIOPIC SYLLABLE FU
134A	ethiopicsyllablefi	ETHIOPIC SYLLABLE FI
134B	ethiopicsyllablefaa	ETHIOPIC SYLLABLE FAA
134C	ethiopicsyllablefee	ETHIOPIC SYLLABLE FEE
134D	ethiopicsyllablefe	ETHIOPIC SYLLABLE FE
134E	ethiopicsyllablefo	ETHIOPIC SYLLABLE FO
134F	ethiopicsyllablefwa	ETHIOPIC SYLLABLE FWA
1350	ethiopicsyllablepa	ETHIOPIC SYLLABLE PA
1351	ethiopicsyllablepu	ETHIOPIC SYLLABLE PU
1352	ethiopicsyllablepi	ETHIOPIC SYLLABLE PI
1353	ethiopicsyllablepaa	ETHIOPIC SYLLABLE PAA
1354	ethiopicsyllablepee	ETHIOPIC SYLLABLE PEE
1355	ethiopicsyllablepe	ETHIOPIC SYLLABLE PE
1356	ethiopicsyllablepo	ETHIOPIC SYLLABLE PO
1357	ethiopicsyllablepwa	ETHIOPIC SYLLABLE PWA
1358	ethiopicsyllablerya	ETHIOPIC SYLLABLE RYA
1359	ethiopicsyllablemya	ETHIOPIC SYLLABLE MYA
135A	ethiopicsyllablefya	ETHIOPIC SYLLABLE FYA
135F	ethiopiccombininggeminationmark	ETHIOPIC COMBINING GEMINATION MARK
1360	ethiopicsectionmark	ETHIOPIC SECTION MARK
1361	ethiopicwordspace	ETHIOPIC WORDSPACE
1362	ethiopicfullstop	ETHIOPIC FULL STOP
1363	ethiopiccomma	ETHIOPIC COMMA
1364	ethiopicsemicolon	ETHIOPIC SEMICOLON
1365	ethiopiccolon	ETHIOPIC COLON
1366	ethiopicprefacecolon	ETHIOPIC PREFACE COLON
1367	ethiopicquestionmark	ETHIOPIC QUESTION MARK
1368	ethiopicparagraphseparator	ETHIOPIC PARAGRAPH SEPARATOR
1369	ethiopicdigitone	ETHIOPIC DIGIT ONE
136A	ethiopicdigittwo	ETHIOPIC DIGIT TWO
136B	ethiopicdigitthree	ETHIOPIC DIGIT THREE
136C	ethiopicdigitfour	ETHIOPIC DIGIT FOUR
136D	ethiopicdigitfive	ETHIOPIC DIGIT FIVE
136E	ethiopicdigitsix	ETHIOPIC DIGIT SIX
136F	ethiopicdigitseven	ETHIOPIC DIGIT SEVEN
1370	ethiopicdigiteight	ETHIOPIC DIGIT EIGHT
1371	ethiopicdigitnine	ETHIOPIC DIGIT NINE
1372	ethiopicnumberten	ETHIOPIC NUMBER TEN
1373	ethiopicnumbertwenty	ETHIOPIC NUMBER TWENTY
1374	ethiopicnumberthirty	ETHIOPIC NUMBER THIRTY
1375	ethiopicnumberforty	ETHIOPIC NUMBER FORTY
1376	ethiopicnumberfifty	ETHIOPIC NUMBER FIFTY
1377	ethiopicnumbersixty	ETHIOPIC NUMBER SIXTY
1378	ethiopicnumberseventy	ETHIOPIC NUMBER SEVENTY
1379	ethiopicnumbereighty	ETHIOPIC NUMBER EIGHTY
137A	ethiopicnumberninety	ETHIOPIC NUMBER NINETY
137B	ethiopicnumberhundred	ETHIOPIC NUMBER HUNDRED
137C	ethiopicnumbertenthousand	ETHIOPIC NUMBER TEN THOUSAND
