# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F86C	cjk-cjkcompatibilityideograph2f86c	CJK COMPATIBILITY IDEOGRAPH-2F86C
2F86D	cjk-cjkcompatibilityideograph2f86d	CJK COMPATIBILITY IDEOGRAPH-2F86D
2F86E	cjk-cjkcompatibilityideograph2f86e	CJK COMPATIBILITY IDEOGRAPH-2F86E
2F86F	cjk-cjkcompatibilityideograph2f86f	CJK COMPATIBILITY IDEOGRAPH-2F86F
2F870	cjk-cjkcompatibilityideograph2f870	CJK COMPATIBILITY IDEOGRAPH-2F870
2F871	cjk-cjkcompatibilityideograph2f871	CJK COMPATIBILITY IDEOGRAPH-2F871
2F872	cjk-cjkcompatibilityideograph2f872	CJK COMPATIBILITY IDEOGRAPH-2F872
2F873	cjk-cjkcompatibilityideograph2f873	CJK COMPATIBILITY IDEOGRAPH-2F873
2F874	cjk-cjkcompatibilityideograph2f874	CJK COMPATIBILITY IDEOGRAPH-2F874
2F875	cjk-cjkcompatibilityideograph2f875	CJK COMPATIBILITY IDEOGRAPH-2F875
2F876	cjk-cjkcompatibilityideograph2f876	CJK COMPATIBILITY IDEOGRAPH-2F876
2F877	cjk-cjkcompatibilityideograph2f877	CJK COMPATIBILITY IDEOGRAPH-2F877
2F878	cjk-cjkcompatibilityideograph2f878	CJK COMPATIBILITY IDEOGRAPH-2F878
2F879	cjk-cjkcompatibilityideograph2f879	CJK COMPATIBILITY IDEOGRAPH-2F879
2F87A	cjk-cjkcompatibilityideograph2f87a	CJK COMPATIBILITY IDEOGRAPH-2F87A
2F87B	cjk-cjkcompatibilityideograph2f87b	CJK COMPATIBILITY IDEOGRAPH-2F87B
2F87C	cjk-cjkcompatibilityideograph2f87c	CJK COMPATIBILITY IDEOGRAPH-2F87C
2F87D	cjk-cjkcompatibilityideograph2f87d	CJK COMPATIBILITY IDEOGRAPH-2F87D
2F87E	cjk-cjkcompatibilityideograph2f87e	CJK COMPATIBILITY IDEOGRAPH-2F87E
2F87F	cjk-cjkcompatibilityideograph2f87f	CJK COMPATIBILITY IDEOGRAPH-2F87F
2F880	cjk-cjkcompatibilityideograph2f880	CJK COMPATIBILITY IDEOGRAPH-2F880
2F881	cjk-cjkcompatibilityideograph2f881	CJK COMPATIBILITY IDEOGRAPH-2F881
2F882	cjk-cjkcompatibilityideograph2f882	CJK COMPATIBILITY IDEOGRAPH-2F882
2F883	cjk-cjkcompatibilityideograph2f883	CJK COMPATIBILITY IDEOGRAPH-2F883
2F884	cjk-cjkcompatibilityideograph2f884	CJK COMPATIBILITY IDEOGRAPH-2F884
2F885	cjk-cjkcompatibilityideograph2f885	CJK COMPATIBILITY IDEOGRAPH-2F885
2F886	cjk-cjkcompatibilityideograph2f886	CJK COMPATIBILITY IDEOGRAPH-2F886
2F887	cjk-cjkcompatibilityideograph2f887	CJK COMPATIBILITY IDEOGRAPH-2F887
2F888	cjk-cjkcompatibilityideograph2f888	CJK COMPATIBILITY IDEOGRAPH-2F888
2F889	cjk-cjkcompatibilityideograph2f889	CJK COMPATIBILITY IDEOGRAPH-2F889
2F88A	cjk-cjkcompatibilityideograph2f88a	CJK COMPATIBILITY IDEOGRAPH-2F88A
2F88B	cjk-cjkcompatibilityideograph2f88b	CJK COMPATIBILITY IDEOGRAPH-2F88B
2F88C	cjk-cjkcompatibilityideograph2f88c	CJK COMPATIBILITY IDEOGRAPH-2F88C
2F88D	cjk-cjkcompatibilityideograph2f88d	CJK COMPATIBILITY IDEOGRAPH-2F88D
2F88E	cjk-cjkcompatibilityideograph2f88e	CJK COMPATIBILITY IDEOGRAPH-2F88E
2F88F	cjk-cjkcompatibilityideograph2f88f	CJK COMPATIBILITY IDEOGRAPH-2F88F
2F890	cjk-cjkcompatibilityideograph2f890	CJK COMPATIBILITY IDEOGRAPH-2F890
2F891	cjk-cjkcompatibilityideograph2f891	CJK COMPATIBILITY IDEOGRAPH-2F891
2F892	cjk-cjkcompatibilityideograph2f892	CJK COMPATIBILITY IDEOGRAPH-2F892
