# Miscellaneous Technical 2300 - 23FF
23A8	leftcurlybracketmiddlepiece	LEFT CURLY BRACKET MIDDLE PIECE
23A9	leftcurlybracketlowerhook	LEFT CURLY BRACKET LOWER HOOK
23AA	curlybracketextension	CURLY BRACKET EXTENSION
23AB	rightcurlybracketupperhook	RIGHT CURLY BRACKET UPPER HOOK
23AC	rightcurlybracketmiddlepiece	RIGHT CURLY BRACKET MIDDLE PIECE
23AD	rightcurlybracketlowerhook	RIGHT CURLY BRACKET LOWER HOOK
23AE	integralextension	INTEGRAL EXTENSION
23AF	horizontallineextension	HORIZONTAL LINE EXTENSION
23B0	upperleftorlowerrightcurlybracketsection	UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION
23B1	upperrightorlowerleftcurlybracketsection	UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION
23B2	summationtop	SUMMATION TOP
23B3	summationbottom	SUMMATION BOTTOM
23B4	topsquarebracket	TOP SQUARE BRACKET
23B5	bottomsquarebracket	BOTTOM SQUARE BRACKET
23B6	bottomsquarebracketovertopsquarebracket	BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET
23B7	radicalsymbolbottom	RADICAL SYMBOL BOTTOM
23B8	leftverticalboxline	LEFT VERTICAL BOX LINE
23B9	rightverticalboxline	RIGHT VERTICAL BOX LINE
23BA	horizontalscanline1	HORIZONTAL SCAN LINE-1
23BB	horizontalscanline3	HORIZONTAL SCAN LINE-3
23BC	horizontalscanline7	HORIZONTAL SCAN LINE-7
23BD	horizontalscanline9	HORIZONTAL SCAN LINE-9
23BE	dentistrysymbollightverticalandtopright	DENTISTRY SYMBOL LIGHT VERTICAL AND TOP RIGHT
23BF	dentistrysymbollightverticalandbottomright	DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM RIGHT
23C0	dentistrysymbollightverticalwithcircle	DENTISTRY SYMBOL LIGHT VERTICAL WITH CIRCLE
23C1	dentistrysymbollightdownandhorizontalwithcircle	DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH CIRCLE
23C2	dentistrysymbollightupandhorizontalwithcircle	DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH CIRCLE
23C3	dentistrysymbollightverticalwithtriangle	DENTISTRY SYMBOL LIGHT VERTICAL WITH TRIANGLE
23C4	dentistrysymbollightdownandhorizontalwithtriangle	DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH TRIANGLE
23C5	dentistrysymbollightupandhorizontalwithtriangle	DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH TRIANGLE
23C6	dentistrysymbollightverticalandwave	DENTISTRY SYMBOL LIGHT VERTICAL AND WAVE
23C7	dentistrysymbollightdownandhorizontalwithwave	DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH WAVE
23C8	dentistrysymbollightupandhorizontalwithwave	DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH WAVE
23C9	dentistrysymbollightdownandhorizontal	DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL
23CA	dentistrysymbollightupandhorizontal	DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL
23CB	dentistrysymbollightverticalandtopleft	DENTISTRY SYMBOL LIGHT VERTICAL AND TOP LEFT
23CC	dentistrysymbollightverticalandbottomleft	DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM LEFT
23CD	squarefoot	SQUARE FOOT
23CE	returnsymbol	RETURN SYMBOL
23CF	ejectsymbol	EJECT SYMBOL
23D0	verticallineextension	VERTICAL LINE EXTENSION
23D1	metricalbreve	METRICAL BREVE
23D2	metricallongovershort	METRICAL LONG OVER SHORT
23D3	metricalshortoverlong	METRICAL SHORT OVER LONG
23D4	metricallongovertwoshorts	METRICAL LONG OVER TWO SHORTS
23D5	metricaltwoshortsoverlong	METRICAL TWO SHORTS OVER LONG
23D6	metricaltwoshortsjoined	METRICAL TWO SHORTS JOINED
23D7	metricaltriseme	METRICAL TRISEME
23D8	metricaltetraseme	METRICAL TETRASEME
23D9	metricalpentaseme	METRICAL PENTASEME
23DA	earthground	EARTH GROUND
23DB	fuse	FUSE
23DC	topparenthesis	TOP PARENTHESIS
23DD	bottomparenthesis	BOTTOM PARENTHESIS
23DE	topcurlybracket	TOP CURLY BRACKET
23DF	bottomcurlybracket	BOTTOM CURLY BRACKET
23E0	toptortoiseshellbracket	TOP TORTOISE SHELL BRACKET
23E1	bottomtortoiseshellbracket	BOTTOM TORTOISE SHELL BRACKET
23E2	whitetrapezium	WHITE TRAPEZIUM
23E3	benzeneringwithcircle	BENZENE RING WITH CIRCLE
23E4	straightness	STRAIGHTNESS
23E5	flatness	FLATNESS
23E6	accurrent	AC CURRENT
23E7	electricalintersection	ELECTRICAL INTERSECTION
23E8	decimalexponentsymbol	DECIMAL EXPONENT SYMBOL
