# Saurashtra A880 - A8DF
A880	srsh-saurashtrasignanusvara	SAURASHTRA SIGN ANUSVARA
A8BF	srsh-saurashtravowelsignee	SAURASHTRA VOWEL SIGN EE
A8C0	srsh-saurashtravowelsignai	SAURASHTRA VOWEL SIGN AI
A8C1	srsh-saurashtravowelsigno	SAURASHTRA VOWEL SIGN O
A8C2	srsh-saurashtravowelsignoo	SAURASHTRA VOWEL SIGN OO
A8C3	srsh-saurashtravowelsignau	SAURASHTRA VOWEL SIGN AU
A8C4	srsh-saurashtrasignvirama	SAURASHTRA SIGN VIRAMA
A8CE	srsh-saurashtradanda	SAURASHTRA DANDA
A8CF	srsh-saurashtradoubledanda	SAURASHTRA DOUBLE DANDA
A8D0	srsh-saurashtradigitzero	SAURASHTRA DIGIT ZERO
A8D1	srsh-saurashtradigitone	SAURASHTRA DIGIT ONE
A8D2	srsh-saurashtradigittwo	SAURASHTRA DIGIT TWO
A8D3	srsh-saurashtradigitthree	SAURASHTRA DIGIT THREE
A8D4	srsh-saurashtradigitfour	SAURASHTRA DIGIT FOUR
A8D5	srsh-saurashtradigitfive	SAURASHTRA DIGIT FIVE
A8D6	srsh-saurashtradigitsix	SAURASHTRA DIGIT SIX
A8D7	srsh-saurashtradigitseven	SAURASHTRA DIGIT SEVEN
A8D8	srsh-saurashtradigiteight	SAURASHTRA DIGIT EIGHT
A8D9	srsh-saurashtradigitnine	SAURASHTRA DIGIT NINE
